player_id,player,team,season,height_in,class_year,bats,throws,hometown_city,hometown_state,high_school
34706,Morgan Shanaman,Mercyhurst,2026,,Jr.,RIGHT,RIGHT,Myerstown,PA,Eastern Lebanon CO High School
34755,Carter Kocik,Mercyhurst,2026,72,Jr.,RIGHT,RIGHT,West Salem,OH,Black River
34795,Shea Bailey,Mercyhurst,2026,,Fr.,RIGHT,RIGHT,Waverly,NY,Tioga Central School
34922,Peyton Weigand,Mercyhurst,2026,,Fr.,LEFT,LEFT,Mogadore,OH,Archbishop Hoban High School
35037,Ryan Gollon,Mercyhurst,2026,,Fr.,RIGHT,RIGHT,Swedesboro,NJ,Kingsway Regional High School
34885,Hutson Chance,Tennessee,2026,75,Fr.,LEFT,RIGHT,Brentwood,TN,Christ Presbyterian
34921,Ari Bethea,Tennessee,2026,73,Fr.,RIGHT,RIGHT,Collierville,TN,Collierville
34958,Nate Eisfelder,Tennessee,2026,74,Fr.,RIGHT,RIGHT,Johnson City,TN,IMG Academy
35046,DJ McDowell,Tennessee,2026,77,Fr.,RIGHT,RIGHT,Atlanta,GA,Lassiter
34954,Talan Holiday,North Carolina,2026,74,Fr.,LEFT,RIGHT,Pembroke Pines,FL,American Heritage School
34991,AJ Terry,North Carolina,2026,72,Fr.,RIGHT,RIGHT,Randolph,NJ,Randolph High School
35056,Andrew Wallen,North Carolina,2026,79,Fr.,RIGHT,RIGHT,Greenville,NC,Junius H Rose High School
35060,Matt McKnight,North Carolina,2026,75,Fr.,RIGHT,RIGHT,Charlotte,NC,Charlotte Catholic High School
35061,Justin Mabe,North Carolina,2026,75,Fr.,RIGHT,RIGHT,Lexington,NC,North Davidson High School
2291,JOSHUA JONES,McNeese,2026,69,Jr.,RIGHT,RIGHT,Fort Worth,TX,W E Boswell High School
34524,Cameron Williams,McNeese,2026,72,Jr.,LEFT,LEFT,Round Rock,TX,Hendrickson High School
34527,Ian Holm,McNeese,2026,73,Jr.,RIGHT,RIGHT,Youngsville,LA,Southside High School
35030,Myles Meyer,McNeese,2026,75,Sr.,RIGHT,RIGHT,Auburn,CA,
34987,Jaxon Grossman,Oklahoma,2026,82,Jr.,RIGHT,RIGHT,Haiku,HI,King Kekaulike HS
34989,Uriah Walters,Oklahoma,2026,74,Jr.,RIGHT,RIGHT,,,
20307,Cade Turner,Oklahoma State,2026,75,Fr.,RIGHT,RIGHT,Cabot,AR,Cabot HS
34879,Caden Sramek,Oklahoma State,2026,79,Fr.,RIGHT,RIGHT,Simi Valley,CA,Royal HS
34942,Josiah Golden,Oklahoma State,2026,72,Jr.,RIGHT,RIGHT,Higginsville,MO,Lafayette County HS
34996,Gaige Albright,Oklahoma State,2026,74,Fr.,BOTH,LEFT,Choctaw,OK,Choctaw HS
34721,Ray Jesse,Indiana State,2026,72,Jr.,RIGHT,RIGHT,Lockport,IL,Lockport Township High School
34800,Sebastian Torres,Indiana State,2026,70,So.,RIGHT,RIGHT,Kissimmee,FL,Remington Christian Academy
34892,Liam Kirsh,Indiana State,2026,71,Fr.,RIGHT,RIGHT,Toronto,Canada,Tanenbaum Chat
35021,Sander Lucas,Indiana State,2026,72,Fr.,RIGHT,RIGHT,Cecilia,KY,Central Hardin
34877,Darius Henderson,Kansas,2026,74,So.,LEFT,RIGHT,Raleigh,NC,Snow Canyon HS
34941,Maddox Burkitt,Kansas,2026,74,Jr.,RIGHT,RIGHT,Lawrence,KS,Lawrence Free State HS
34943,Savion Flowers,Kansas,2026,76,So.,LEFT,RIGHT,Chicago,IL,Kenwood Academy HS
34950,Jeremy Allen,Kansas,2026,72,Fr.,RIGHT,RIGHT,Arlington Heights,IL,John Hersey HS
34963,Trevor Booton,Auburn,2026,76,So.,,RIGHT,Lagrange,GA,LaGrange
34980,Wade Shelley,Auburn,2026,72,Fr.,RIGHT,RIGHT,Webb,AL,Headland High School
35004,Ty Thompson,Auburn,2026,73,Fr.,RIGHT,RIGHT,Columbia,MO,TNXL Academy
35039,Clayton Armah,Auburn,2026,76,Fr.,RIGHT,RIGHT,Great Falls,VA,St. John's College High School
35058,Ashton Yelder,West Georgia,2026,,Fr.,,,,,
8476,Ian Moore,West Georgia,2025,,Jr.,,,,,
11223,Mason Phillips,West Georgia,2025,,Jr.,,,,,
13951,Jacob Imoto,Arkansas,2026,75,So.,LEFT,LEFT,Vista,CA,Mission Hills HS
35006,Carson Willis,Arkansas,2026,71,Fr.,RIGHT,RIGHT,Hot Springs,AR,P27 Academy
35041,Colin Fisher,Arkansas,2026,75,Jr.,LEFT,LEFT,Noble,OK,Noble HS
34523,Ben McMillan,Charleston Southern,2026,74,Fr.,RIGHT,RIGHT,Charleston,SC,West Ashley HS
34810,Mason Tibbs,Charleston Southern,2026,77,Jr.,RIGHT,RIGHT,Brownsburg,IN,Brownsburg High School
34962,Jackson Militello,Charleston Southern,2026,73,Jr.,RIGHT,RIGHT,Howell,MI,Howell
34556,Michael Cureton,Radford,2026,73,Fr.,BOTH,RIGHT,Upper Marlboro,MD,Homeschool
34880,Jeff Meade,Radford,2026,71,Fr.,,,Bay Village,OH,Bay High School
34935,Zack Zelazny,Radford,2026,72,Fr.,,,Ashland,VA,Patrick Henry High School
34664,Brandon Candelora,Central Connecticut,2026,,Fr.,LEFT,LEFT,Meriden,CT,Orville H Platt High School
34770,Casey Proctor,Central Connecticut,2026,,Jr.,LEFT,LEFT,Virginia Beach,VA,First Colonial High School
35049,Andrew Nocera,Central Connecticut,2026,,Fr.,RIGHT,RIGHT,Cumberland,RI,Cumberland High School
34966,Jay Fuller,UAB,2026,72,Fr.,LEFT,LEFT,Adger,AL,Oak Grove High School
35002,Drake Douglas,UAB,2026,75,Jr.,LEFT,RIGHT,Saltillo,MS,Saltillo High School
34814,Matthew Roncalli,UAB,2025,72,Jr.,RIGHT,RIGHT,Saltillo,MS,Saltillo
34817,Owen Anchors,Clemson,2025,74,Fr.,LEFT,LEFT,Dunwoody,GA,Dunwoody HS
34823,Spencer MacInnis,Richmond,2025,,Fr.,BOTH,RIGHT,Toronto,Canada,Upper Canada College
34866,Kade Thompson,Texas State,2026,70,So.,RIGHT,RIGHT,Gilbert,AZ,Casteel HS
34867,Luke Saunders,Texas State,2026,72,So.,RIGHT,RIGHT,Aledo,TX,Aledo HS
34974,Victor Coronado,Texas State,2026,74,Fr.,RIGHT,RIGHT,Rosharon,TX,Lutheran South Academy
34946,Josh Pena,Texas Southern,2026,,Jr.,,,Channelview,TX,North Shore High School
34960,Tanner Marek,Texas Southern,2026,,So.,,,,,
34961,Quinton Jefferson,Texas Southern,2026,,Fr.,,,Spring,TX,Klein Collins High School
35027,Wells Twining,UMBC,2026,78,Fr.,,,Bethesda,MD,Walt Whitman High School
35029,Anthony Blackford,UMBC,2026,74,Fr.,,,Woodcliff Lake,NJ,Pascack Hills High School
35031,Grant Teschendorf,UMBC,2026,75,Jr.,RIGHT,RIGHT,Harrison Township,MI,Jackson CC
34998,Ty Corey,St. Bonaventure,2026,74,Fr.,LEFT,LEFT,Pennellville,NY,John C Birdlebough High School
34900,Marek Bolson,Kent State,2026,74,Fr.,LEFT,RIGHT,Oconomowoc,WI,Oconomowoc High School
