Team,Player,Pitch Type,Pitches,BBE,EV,EV 90,Max EV,HH%,LA,HH LA,SwSpot%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,GB%,FB%,LD%,Swing%,Z-Swing%,Z-Contact%,Chase%,Whiff%,SD+
Tufts,Malachi Pena,All,25,5,93.8,100.5,103.2,20.0%,20.3°,32.2°,20.0,20.0%,1,0.571,.243,0.848,.268,20.0%,40.0%,20.0%,44.0%,60.0%,66.7%,33.3%,36.4%,88.0
Limestone,Winston Parke,All,62,6,87.7,95.0,96.6,16.7%,14.4°,14.0°,83.3,0.0%,0,0.625,.361,0.846,.516,0.0%,33.3%,50.0%,29.0%,45.0%,77.8%,21.4%,27.8%,118.0
Lincoln Memorial,Ryan Kurth,All,31,10,99.9,106.6,107.2,70.0%,21.3°,13.7°,50.0,10.0%,1,0.7,.541,0.84,.678,20.0%,20.0%,50.0%,54.8%,86.7%,92.3%,25.0%,17.6%,179.0
California Baptist,Ryan Kim,All,49,11,95.4,102.3,102.8,54.5%,19.2°,16.3°,54.5,9.1%,1,0.583,.417,0.819,.539,9.1%,27.3%,36.4%,46.9%,68.0%,88.2%,25.0%,13.0%,113.0
Toledo,Garret Pike,All,90,21,90.4,104.4,107.0,47.6%,23.2°,27.4°,47.6,19.0%,4,0.542,.395,0.785,.585,19.0%,47.6%,28.6%,56.7%,83.3%,82.5%,26.2%,25.5%,108.0
Lincoln Memorial,Cameron Bowen,All,57,9,100.4,109.8,110.0,66.7%,11.5°,8.8°,33.3,11.1%,1,0.667,.428,0.77,.563,44.4%,22.2%,22.2%,29.8%,63.6%,92.9%,8.6%,5.9%,212.0
Wichita State,Josh Livingston,All,38,5,86.0,107.4,109.0,60.0%,22.2°,24.9°,40.0,40.0%,2,0.429,.266,0.767,.457,20.0%,40.0%,20.0%,47.4%,81.2%,84.6%,22.7%,27.8%,103.0
Queens (NC),Andrew McDermott,All,86,12,92.4,102.7,102.8,41.7%,29.3°,25.8°,58.3,25.0%,3,0.467,.299,0.751,.573,8.3%,41.7%,16.7%,36.0%,69.8%,83.3%,2.3%,19.4%,165.0
Georgia College,Rand Bestermann,All,52,10,89.5,101.6,105.0,20.0%,27.9°,29.4°,20.0,10.0%,1,0.545,.270,0.74,.520,22.2%,66.7%,11.1%,46.2%,95.0%,84.2%,15.6%,16.7%,163.0
Lincoln Memorial,Collin Goda,All,41,7,86.4,100.2,103.7,14.3%,13.9°,25.4°,42.9,14.3%,1,0.5,.417,0.74,.588,28.6%,42.9%,28.6%,36.6%,68.8%,90.9%,16.0%,13.3%,149.0
Tennessee Southern,Gabe Sibert,All,29,5,78.5,88.9,91.9,0.0%,21.5°,-,0.0,0.0%,0,0.6,.122,0.715,.135,40.0%,60.0%,0.0%,51.7%,83.3%,80.0%,29.4%,33.3%,70.0
Arizona State,Eamonn Lance,All,50,8,91.3,103.5,103.9,62.5%,16.8°,12.7°,37.5,12.5%,1,0.4,.274,0.71,.523,37.5%,50.0%,0.0%,32.0%,45.0%,77.8%,23.3%,31.2%,39.0
Georgia,Charlie Condon,All,698,117,99.1,112.7,118.2,67.5%,12.5°,15.5°,48.7,29.1%,34,0.486,.453,0.703,.665,31.6%,26.5%,32.5%,38.1%,65.2%,89.1%,21.3%,21.1%,103.0
California Lutheran,Sebastian Smith,All,28,7,88.2,94.2,94.9,0.0%,18.5°,-,57.1,0.0%,0,0.5,.283,0.702,.315,14.3%,28.6%,42.9%,60.7%,92.3%,100.0%,33.3%,17.6%,113.0
George Fox,Noah Meffert,All,182,43,91.7,103.6,107.2,56.1%,10.2°,10.6°,46.3,2.3%,1,0.628,.393,0.7,.486,38.5%,17.9%,43.6%,45.6%,66.3%,89.8%,25.8%,9.6%,105.0
Southwestern (TX),Owen Stevenson,All,29,6,94.0,106.9,112.6,50.0%,14.6°,-3.8°,16.7,16.7%,1,0.667,.289,0.699,.509,33.3%,33.3%,16.7%,48.3%,75.0%,75.0%,15.4%,28.6%,134.0
Morehead State,Kyle Bartman,All,35,7,80.9,92.5,93.1,0.0%,16.7°,-,71.4,0.0%,0,0.625,.415,0.69,.482,28.6%,14.3%,57.1%,42.9%,75.0%,91.7%,15.8%,13.3%,155.0
