Team,Player,Pitch Type,Pitches,BBE,EV,EV 90,Max EV,HH%,LA,HH LA,SwSpot%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,GB%,FB%,LD%,Swing%,Z-Swing%,Z-Contact%,Chase%,Whiff%,SD+
Emmanuel (GA),Landon Mokris,All,35,7,101.0,104.1,107.0,85.7%,17.7°,19.1°,100.0,14.3%,1,0.778,0.521,1.101,0.698,0.0%,28.6%,71.4%,48.6%,66.7%,83.3%,42.3%,17.6%,202
Stony Brook,Nico Azpilcueta,All,53,6,102.8,108.8,109.4,66.7%,12.2°,16.0°,50.0,33.3%,2,0.625,0.438,0.913,0.889,33.3%,33.3%,16.7%,47.2%,75.0%,73.3%,30.3%,24.0%,142
Saint Francis (IN),Callan Stauffer,All,30,5,77.0,95.0,95.2,20.0%,-8.6°,10.3°,40.0,0.0%,0,0.8,0.494,0.899,0.841,40.0%,0.0%,40.0%,40.0%,66.7%,80.0%,13.3%,25.0%,193
Southern Illinois,Johnny Lemm,All,42,8,93.4,107.3,109.4,62.5%,8.2°,2.7°,25.0,12.5%,1,0.625,0.486,0.897,0.579,62.5%,12.5%,25.0%,35.7%,70.6%,91.7%,12.0%,6.7%,139
Centre,Ayden Lohr,All,36,7,86.8,101.0,103.2,42.9%,12.1°,18.4°,71.4,14.3%,1,0.857,0.496,0.868,0.644,28.6%,28.6%,42.9%,50.0%,82.4%,85.7%,21.1%,27.8%,125
Austin Peay,John Bay,All,109,21,101.6,111.6,113.8,76.2%,17.0°,17.8°,52.4,28.6%,6,0.714,0.624,0.852,0.815,23.8%,28.6%,42.9%,35.8%,73.7%,92.9%,15.5%,10.3%,150
Kansas State,Max Martin,All,48,11,100.8,110.5,112.2,72.7%,8.6°,13.9°,18.2,27.3%,3,0.714,0.474,0.85,0.673,54.5%,27.3%,9.1%,54.2%,71.4%,86.7%,40.7%,26.9%,48
Stonehill,Grayson Sparr,All,35,10,92.5,106.8,108.8,70.0%,4.0°,12.4°,40.0,20.0%,2,0.545,0.396,0.809,0.563,40.0%,40.0%,20.0%,54.3%,92.9%,100.0%,28.6%,10.5%,105
NJIT,Mason Wolf,All,60,13,91.1,101.6,104.4,46.2%,2.3°,11.2°,30.8,7.7%,1,0.571,0.33,0.809,0.541,46.2%,30.8%,15.4%,40.0%,72.2%,84.6%,26.2%,16.7%,153
Shenandoah,Jaime Padilla,All,25,9,89.8,103.7,104.6,55.6%,-6.1°,12.8°,55.6,0.0%,0,0.7,0.463,0.8,0.53,33.3%,11.1%,55.6%,44.0%,64.3%,88.9%,18.2%,18.2%,102
Centre,Ben Prather,All,37,6,91.7,93.0,93.2,0.0%,11.0°,-,66.7,0.0%,0,0.571,0.27,0.782,0.43,33.3%,50.0%,16.7%,35.1%,77.8%,85.7%,21.4%,15.4%,99
Gardner-Webb,Dale Francis,All,53,10,97.4,107.0,107.3,70.0%,3.1°,8.8°,30.0,10.0%,1,0.636,0.524,0.761,0.605,70.0%,10.0%,20.0%,47.2%,82.4%,92.9%,30.6%,20.0%,123
New Mexico,Ethan Ott,All,90,19,93.3,109.1,110.2,52.6%,19.4°,18.5°,36.8,26.3%,5,0.545,0.357,0.76,0.625,31.6%,36.8%,26.3%,38.9%,64.9%,91.7%,20.8%,22.9%,173
UT Martin,Jonah Katsaboulas,All,26,5,88.2,99.2,102.1,40.0%,0.3°,-1.8°,40.0,0.0%,0,0.667,0.369,0.751,0.375,60.0%,0.0%,40.0%,46.2%,84.6%,90.9%,7.7%,16.7%,134
Norfolk State,Jayden Israel,All,25,5,78.8,88.6,89.1,0.0%,19.3°,-,40.0,0.0%,0,0.667,0.43,0.75,0.432,40.0%,20.0%,40.0%,44.0%,76.9%,90.0%,8.3%,9.1%,126
St. Thomas (MN),Max Moris,All,57,13,91.6,101.2,101.6,30.8%,4.7°,14.8°,30.8,0.0%,0,0.714,0.364,0.746,0.404,61.5%,7.7%,30.8%,35.1%,71.4%,86.7%,13.9%,10.0%,170
Fairfield,Billy Sullivan,All,52,7,87.1,96.4,98.8,14.3%,31.5°,27.2°,71.4,14.3%,1,0.556,0.334,0.729,0.482,0.0%,28.6%,57.1%,40.4%,63.6%,85.7%,23.3%,28.6%,88
Coppin State,Anthony Divittorio,All,40,5,74.6,93.2,95.0,20.0%,-0.9°,11.8°,60.0,0.0%,0,0.714,0.301,0.72,0.3,60.0%,0.0%,40.0%,37.5%,61.9%,92.3%,10.5%,13.3%,112
