Team,Player,Pitch Type,Pitches,BBE,EV,EV 90,Max EV,HH%,LA,HH LA,SwSpot%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,GB%,FB%,LD%,Swing%,Z-Swing%,Z-Contact%,Chase%,Whiff%,SD+
Emory & Henry,Ky Gregoire,All,67,11,90.0,99.2,99.4,45.5%,13.3°,19.6°,54.5,0.0%,0,0.833,.437,0.969,.577,36.4%,18.2%,45.5%,31.3%,60.0%,94.4%,8.1%,9.5%,164.0
Westmont,Tanner Beltowski,All,54,9,97.2,104.3,105.4,66.7%,17.9°,23.5°,77.8,33.3%,3,0.667,.609,0.854,.844,11.1%,44.4%,44.4%,33.3%,71.4%,86.7%,9.1%,16.7%,176.0
CSU San Bernardino,Eddie Alfaro,All,62,11,89.4,99.2,100.3,36.4%,20.2°,18.0°,90.9,0.0%,0,0.636,.585,0.822,.680,9.1%,27.3%,63.6%,43.5%,68.0%,100.0%,27.0%,7.4%,128.0
Manhattan,Hunter Sute,All,45,11,85.0,98.9,102.2,18.2%,8.1°,18.7°,45.5,9.1%,1,0.667,.429,0.817,.484,45.5%,27.3%,27.3%,35.6%,58.3%,92.9%,9.5%,6.2%,113.0
Young Harris,Jackson Morgan,All,66,15,98.0,108.1,109.3,66.7%,14.2°,13.3°,53.3,26.7%,4,0.6,.411,0.812,.591,33.3%,26.7%,40.0%,45.5%,69.0%,100.0%,27.0%,10.0%,109.0
Florida A&M,Jackson McKenzie,All,84,14,93.9,103.7,104.4,64.3%,18.5°,21.3°,35.7,7.1%,1,0.611,.339,0.809,.500,21.4%,35.7%,35.7%,36.9%,57.9%,90.9%,19.6%,16.1%,112.0
UNC Pembroke,Daniel Stephens,All,44,8,92.5,100.6,101.1,62.5%,-3.9°,2.8°,25.0,0.0%,0,0.75,.510,0.792,.556,75.0%,0.0%,25.0%,34.1%,64.7%,90.9%,14.8%,6.7%,159.0
Wichita State,Max Kaufer,All,224,33,97.1,106.7,110.8,72.7%,23.5°,18.6°,69.7,30.3%,10,0.512,.477,0.789,.691,15.2%,33.3%,48.5%,32.1%,54.0%,91.5%,18.2%,22.2%,105.0
Young Harris,Carlos Martans,All,64,12,95.1,104.9,106.0,50.0%,19.3°,15.8°,58.3,8.3%,1,0.615,.481,0.751,.613,8.3%,25.0%,66.7%,29.7%,58.3%,100.0%,12.5%,10.5%,160.0
Pomona-Pitzer,Kai Gonzaga,All,178,28,89.7,102.8,103.7,32.1%,15.3°,10.5°,50.0,7.1%,2,0.5,.299,0.744,.504,32.1%,21.4%,32.1%,28.1%,46.3%,93.5%,17.1%,16.0%,148.0
Siena,Owen Pincince,All,32,5,88.5,93.9,95.4,20.0%,19.2°,16.8°,60.0,0.0%,0,0.6,.558,0.729,.622,20.0%,20.0%,60.0%,31.2%,50.0%,100.0%,7.1%,10.0%,85.0
Fairleigh Dickinson,Jeremy Delamota,All,72,12,88.6,102.2,105.3,33.3%,9.8°,17.3°,50.0,8.3%,1,0.467,.341,0.709,.441,33.3%,33.3%,33.3%,43.1%,71.4%,96.0%,16.2%,9.7%,107.0
Young Harris,Jack Enrico,All,58,18,86.0,99.4,102.0,33.3%,12.1°,11.2°,38.9,0.0%,0,0.611,.408,0.702,.465,44.4%,16.7%,33.3%,48.3%,70.0%,100.0%,36.8%,0.0%,40.0
Rhodes,Cooper Angilly,All,36,8,86.4,100.7,102.0,25.0%,3.3°,9.1°,50.0,0.0%,0,0.714,.350,0.698,.447,50.0%,12.5%,37.5%,33.3%,60.0%,100.0%,14.3%,8.3%,117.0
California Lutheran,Daniel Orozco,All,49,5,91.9,101.1,101.2,80.0%,-0.3°,7.8°,20.0,20.0%,1,0.5,.401,0.682,.579,60.0%,20.0%,20.0%,32.7%,52.9%,88.9%,21.9%,18.8%,93.0
Manhattan,Ryan Lordier,All,61,14,88.0,98.1,101.0,28.6%,8.0°,7.0°,57.1,0.0%,0,0.75,.432,0.662,.430,35.7%,14.3%,50.0%,42.6%,65.7%,100.0%,11.5%,3.8%,133.0
