Team,Player,Pitch Type,Throws,Pitches,BBE,EV,HH%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,Swing%,Z-Contact%,Chase%,Whiff%,Velo,Velo 90,Max Velo,Spin Rate,iVB,HB,VAA,HAA,RelHeight,RelSide,Extension,Stuff+,Location+,xRV+,Anomaly+,Tunnel+,PredMovDiff+
LSU,Mavrick Rizy,Curveball,R,47,6,89.8,50.0%,0.0%,0,0.0,0.234,0.0,0.295,27.7%,81.8%,6.9%,23.1%,82.4,83.8,84.2,2605,"-0.6""","-6.7""",-7.8°,-3.0°,5.6',2.0',5.5',130,105,107,91,103,107
Portland,Morgan Codron,Slider,R,33,5,88.3,40.0%,0.0%,0,0.0,0.309,0.0,0.309,42.4%,100.0%,29.2%,21.4%,83.1,85.0,85.4,2445,"2.6""","-3.7""",-7.1°,-2.7°,5.1',1.5',5.9',125,101,109,93,100,100
BYU,Cayson Bell,Slider,R,40,9,91.2,44.4%,0.0%,0,0.0,0.272,0.0,0.331,40.0%,100.0%,23.1%,12.5%,78.9,81.6,81.8,1882,"1.8""","5.5""",-7.9°,-1.5°,5.1',1.5',6.3',110,96,79,101,98,102
Butler,Ian Regal,Sinker,L,34,7,73.9,14.3%,0.0%,0,0.0,0.24,0.0,0.233,38.2%,85.7%,24.0%,23.1%,85.9,88.0,88.8,2203,"9.3""","-16.2""",-6.6°,0.6°,5.8',-2.8',6.5',80,71,79,107,96,92
Kent State,Ben Rabatin,Changeup,R,50,6,86.4,33.3%,0.0%,0,0.0,0.118,0.0,0.157,40.0%,66.7%,29.7%,45.0%,85.7,87.5,88.5,1705,"7.6""","15.7""",-6.4°,-0.2°,5.4',2.3',5.8',89,73,69,93,96,97
North Carolina,Jackson Rose,Slider,L,99,9,84.1,10.0%,0.0%,0,0.0,0.174,0.0,0.227,41.4%,76.0%,27.6%,31.7%,80.6,82.0,89.3,2355,"1.3""","5.0""",-7.4°,2.8°,5.3',-1.9',5.5',124,112,112,104,99,98
Texas,Brody Walls,Slider,R,60,6,65.1,0.0%,0.0%,0,0.0,0.089,0.0,0.094,30.0%,90.0%,17.8%,27.8%,79.4,82.3,87.0,2457,"1.7""","-13.9""",-7.3°,-6.2°,5.0',4.4',5.2',124,81,101,126,102,102
Penn State,Ethan Bauerschmidt,Slider,R,40,6,88.7,16.7%,0.0%,0,0.0,0.184,0.0,0.256,25.0%,85.7%,13.6%,20.0%,80.0,81.2,90.2,2516,"-4.3""","-2.6""",-8.9°,-2.2°,6.1',1.5',4.8',119,81,85,98,101,101
Tarleton State,Matthew McCullough,Curveball,R,60,5,81.0,0.0%,0.0%,0,0.0,0.123,0.0,0.126,21.7%,90.0%,7.3%,15.4%,77.7,79.3,81.1,2303,"-5.6""","-9.7""",-9.9°,-2.4°,6.4',1.8',6.2',99,78,69,106,102,117
Purdue,Gavin Beuter,Changeup,R,33,6,86.7,16.7%,0.0%,0,0.0,0.204,0.0,0.223,33.3%,83.3%,22.7%,36.4%,81.0,83.2,84.3,1598,"7.9""","15.5""",-7.9°,0.8°,5.7',0.7',5.4',111,106,103,96,96,99
