fit,player,role,position,division,from_school,to_school,class_year,eligibility_remaining,status,need,perf_pct,level_factor,team,pa,ba,obp,slg,xwoba,xslg,avg_ev,decision_value,hr,ip,fip,k_bb,perceived_value,t2_stuff,inzone_whiff_pct,xwhiff_pct,priority,contact,scout_notes
98.4,DUKE STONE,pitcher,RHP,I,Mississippi State University,,Sophomore,2.0,ENTERED,Weekend starter,0.965,1.0,Mississippi State,,,,,,,,,,,,,115.8,116.2,,,0.0,,
97.7,OWEN PROKSCH,pitcher,LHP,I,Duke University,,Junior,1.0,ENTERED,Weekend starter,0.948,1.0,Duke,,,,,,,,,,,,,111.1,115.4,,,,,
97.5,BLAKE DEAN,pitcher,RHP,I,Kansas State University,,Sophomore,2.0,ENTERED,Weekend starter,0.945,1.0,Kansas State,,,,,,,,,,,,,107.1,118.7,,,2.0,,
97.1,RYNE RODRIGUEZ,pitcher,P,I,University of Mississippi,,Junior,1.0,ENTERED,Weekend starter,0.935,1.0,Houston,,,,,,,,,,,,,110.8,114.1,,,0.0,,
97.1,PETER DUBIE,pitcher,RHP,I,Brown University,,Junior,1.0,ENTERED,Weekend starter,0.936,1.0,Brown,,,,,,,,,,,,,112.7,113.3,,,2.0,,
96.9,PARKER SWEENEY,pitcher,LHP,I,Virginia Polytechnic Institute and State University,,Freshman,3.0,ENTERED,Weekend starter,0.931,1.0,College of Charleston,,,,,,,,,,,,,108.2,114.5,,,4.0,,
94.6,TOMAS VALINCIUS,pitcher,P,I,University of Virginia,,,,ENTERED,Weekend starter,0.992,1.0,Mississippi State,,,,,,,,,,,,,122.5,122.3,,,,,
94.5,CARSON BAILEY,pitcher,LHP,I,Baylor University,,Sophomore,2.0,ENTERED,Weekend starter,0.879,1.0,Baylor,,,,,,,,,,,,,106.3,110.8,,,2.0,,
94.0,AIDAN WEAVER,pitcher,P,I,Duke University,,,,ENTERED,Weekend starter,0.977,1.0,Duke,,,,,,,,,,,,,117.2,118.1,,,1.0,,
94.0,MICAH WORLEY,pitcher,P,I,Stony Brook University,,,,ENTERED,Weekend starter,0.978,1.0,Stony Brook,,,,,,,,,,,,,115.4,120.6,,,0.0,,
93.9,MADDOX WEBB,pitcher,P,I,The Citadel,,,,ENTERED,Weekend starter,0.977,1.0,The Citadel,,,,,,,,,,55.2,3.9,1.79,0.805,117.2102133,0.171,,,,
93.7,NATHAN TAYLOR,pitcher,P,I,University of Georgia,,,,ENTERED,Weekend starter,0.971,1.0,Cincinnati,,,,,,,,,,,,,117.6,116.4,,,,,Unnamed: 19: Baseball | Unnamed: 21: Southeastern Conference | Unnamed: 22: Active
93.4,JAKE MARCIANO,pitcher,LHP,I,Virginia Polytechnic Institute and State University,,Freshman,3.0,ENTERED,Weekend starter,0.854,1.0,Auburn,,,,,,,,,,,,,119.7,107.4,,,2.0,,
92.7,ISAAC MORTON,pitcher,P,I,"Texas A&M University, College Station",,,,ENTERED,Weekend starter,0.949,1.0,Minnesota,,,,,,,,,,,,,123.1,113.0,,,2.0,,
92.6,EVAN JONES,pitcher,P,I,Western Kentucky University,,,,ENTERED,Weekend starter,0.965,1.0,Wake Forest,,,,,,,,,,,,,110.8,120.8,,,,,
91.2,MICHAEL SMITH JR,hitter,P,I,Prairie View A&M University,,,,ENTERED,Weekend starter,0.917,1.0,Dayton,,0.312,,,0.439,,91.7,,,12.2,6.81,4.0,0.1595,93.74826917,0.063,,,,
90.7,RYAN SPROCK,hitter,TWP,I,Elon University,,,,ENTERED,Weekend starter,0.904,1.0,Elon,,0.322,,,0.464,,91.5,,,,,,101.0,110.0,,,0.0,,
90.5,DIEGO CARDENAS,hitter,RHP,II,University of Indianapolis,,Grad Transfer,,ENTERED,Weekend starter,0.99,0.8,Abilene Christian,,0.341,,,0.526,,96.9,,,91.2,4.38,2.97,0.281,,,,0.0,,
89.2,JAMES MCCOY,hitter,RHP/OF,I,University of Kentucky,,Grad Transfer,,ENTERED,Weekend starter,0.871,1.0,Georgia Southern,,0.328,,,0.405,,93.2,,,14.2,4.61,2.33,0.7695,103.6400852,0.125,,1.0,,
89.2,ZACHARY JACKSON,hitter,TWP,I,Duke University,,,,ENTERED,Weekend starter,0.872,1.0,Virginia,,0.247,,,0.422,,92.3,,,7.2,7.09,0.71,0.1455,,,,0.0,,
88.8,JOSHUA DYKHOFF,hitter,P,II,"University of Minnesota, Crookston",,,,ENTERED,Weekend starter,0.951,0.8,Kansas,,0.317,,,0.445,,94.0,,,77.0,2.79,13.17,0.3605,,,,,,
87.6,BLAINE BROWN,hitter,TWP,I,Rice University,,,,ENTERED,Weekend starter,0.836,1.0,Tennessee,,0.234,,,0.43,,93.5,,,,,,99.0,122.0,,,0.0,,
86.4,GAGE MILLER,hitter,P,II,Lake Erie College,,,,ENTERED,Weekend starter,0.899,0.8,Alabama,,0.379,,,0.444,,90.3,,,11.0,8.45,0.45,0.0775,,,,,,
86.4,COLE SMITH,hitter,P,I,Bradley University,,,,ENTERED,Weekend starter,0.809,1.0,Northern Illinois,,0.363,,,0.425,,90.5,,,8.0,6.3,0.14,0.185,106.9042987,0.0,,,,
83.9,JAKE WEAVER,hitter,P,I,University of the Incarnate Word,,,,ENTERED,Weekend starter,0.753,1.0,Incarnate Word,,0.296,,,0.407,,89.6,,,70.1,4.54,1.87,0.773,111.0932911,0.132,,0.0,,
81.9,GARRETT WRIGHT,hitter,P,II,Augusta University,,,,ENTERED,Weekend starter,0.798,0.8,Tennessee,,0.345,,,0.42,,87.5,,,50.1,4.05,1.42,0.2975,,,,0.0,,
80.2,CARTER WHITE,hitter,P,II,Lincoln Memorial University,,,,ENTERED,Weekend starter,0.761,0.8,North Florida,,0.296,,,0.385,,86.6,,,57.2,4.06,1.67,0.797,99.0324792,0.106,,,,
78.5,LUCAS SMITH,hitter,P,II,Limestone University,,,,ENTERED,Weekend starter,0.721,0.8,Illinois-Chicago,,0.336,,,0.435,,86.8,,,28.1,2.54,3.56,0.373,,,,,,
76.9,MATTHEW POLK,hitter,P,I,Vanderbilt University,,Grad Transfer,,ENTERED,Weekend starter,0.598,1.0,Vanderbilt,,0.28,,,0.348,,90.0,,,6.2,9.48,0.63,0.526,96.22726846,0.088,,0.0,,
76.7,WILLIAM JOHNSON,hitter,P,I,University of Louisiana Monroe,,,,ENTERED,Weekend starter,0.592,1.0,Old Dominion,,0.339,,,0.381,,83.9,,,20.0,3.73,2.21,0.3135,,,,0.0,,
