player_id,name,pos,class_year,div,from_school,summer_team,status,san_diego_school,ca_school,ca_summer_league
608,NATHAN CAMPOS-JARAMILLO,UTL,Sophomore,II,"California State University, San Marcos",,ENTERED,Y,Y,
609,KENDALL   MT PYATT,INF,Grad Transfer,II,"California State University, San Marcos",,ENTERED,Y,Y,
610,PHOENIX SOMMAY,,,II,"California State University, San Marcos",,ENTERED,Y,Y,
611,TREVOR MT EBY,RHP,Senior?,II,"California State University, San Marcos",,ENTERED,Y,Y,
612,SPENCER ANDERSON,RHP,Grad Transfer,II,"California State University, San Marcos",,ENTERED,Y,Y,
613,ZAVIEN MT WATSON,,,II,"California State University, San Marcos",,ENTERED,Y,Y,
614,DAVID MT MONGE,,,II,"California State University, San Marcos",,ENTERED,Y,Y,
615,DYLAN UNANGST,,,II,"California State University, San Marcos",,ENTERED,Y,Y,
616,JORDAN TOWNLEY,RHP,,II,"California State University, San Marcos",,ENTERED,Y,Y,
617,MASEN MT MCDONNELL,,,II,"California State University, San Marcos",,ENTERED,Y,Y,
618,LUKE MT HIGGINS,,,II,"California State University, San Marcos",,ENTERED,Y,Y,
619,GARRETT TEUNISSEN,,,II,"California State University, San Marcos",,ENTERED,Y,Y,
2758,NOAH   MT MEFFERT,UTL,Grad Transfer,II,Point Loma Nazarene University,,ENTERED,Y,Y,
2759,ZAKARY MT WHITE,RHP,,II,Point Loma Nazarene University,Fond du Lac,ENTERED,Y,Y,
2760,JORDAN GREEN,RHP,Freshman,II,Point Loma Nazarene University,,ENTERED,Y,Y,
2761,JACK   MT BUNNELL,,Grad Transfer,II,Point Loma Nazarene University,,ENTERED,Y,Y,
2762,BRANDEN JACKEL,LHP,Sophomore,II,Point Loma Nazarene University,,ENTERED,Y,Y,
2763,TANNER FORBUS,,,II,Point Loma Nazarene University,,ENTERED,Y,Y,
2764,BROCK MAYER,P,,II,Point Loma Nazarene University,,ENTERED,Y,Y,
2765,NATHAN WOODSIDE,,,II,Point Loma Nazarene University,,ENTERED,Y,Y,
2766,MICHAEL   MT SARHATT,RHP,Grad Transfer,II,Point Loma Nazarene University,,ENTERED,Y,Y,
673,JOSEPH STEVENTON,RHP,,I,San Diego State University,,ENTERED,Y,Y,
2906,CHRISTOPHER TAMPOYA,,,I,San Diego State University,,ENTERED,Y,Y,
2907,DOMENICO TOMASELLO,,,I,San Diego State University,,ENTERED,Y,Y,
3263,CRAIG MORAN,OF,Freshman,I,San Diego State University,Utah Marshalls,ENTERED,Y,Y,
3264,XAVIER FARNUM,C,Freshman,I,San Diego State University,,ENTERED,Y,Y,
3265,NEVAN NOONAN,INF,Junior,I,San Diego State University,,ENTERED,Y,Y,
3266,SAMUEL KAHLER,OF,Sophomore,I,San Diego State University,,ENTERED,Y,Y,
3267,DREW RUTTER,OF,Sophomore,I,San Diego State University,,ENTERED,Y,Y,
3268,DANIEL ARAMBULA,INF,Freshman,I,San Diego State University,,ENTERED,Y,Y,
3269,JAKE JACKSON,OF,Sophomore,I,San Diego State University,,ENTERED,Y,Y,
3270,ZANE KELLY,OF,Sophomore,I,San Diego State University,,ENTERED,Y,Y,
3271,TINO BETHANCOURT,,Grad Transfer,I,San Diego State University,,ENTERED,Y,Y,
3272,ELIJAH SELGA,,,I,San Diego State University,,ENTERED,Y,Y,
3273,CHRIS CANAVAN,P,,I,San Diego State University,,ENTERED,Y,Y,
3274,GARVEY RUMARY,LHP,Sophomore,I,San Diego State University,,ENTERED,Y,Y,
3275,EVAN ESCOBAR,,,I,San Diego State University,,ENTERED,Y,Y,
3276,TREVOR FOX,,,I,San Diego State University,,ENTERED,Y,Y,
3277,JOSHUA QUEZADA,,,I,San Diego State University,,ENTERED,Y,Y,
3278,FINLEY BATES,,,I,San Diego State University,,ENTERED,Y,Y,
3279,PEYTON RODGERS,RHP,Freshman,I,San Diego State University,,ENTERED,Y,Y,
3280,KYLE PETTIGREW,,,I,San Diego State University,,ENTERED,Y,Y,
3281,AARON KNIFFIN,RHP,Freshman,I,San Diego State University,,ENTERED,Y,Y,
3282,MARKO MT SIPILA,RHP,Junior,I,San Diego State University,,ENTERED,Y,Y,
3283,LUKA PINTAR,P,,I,San Diego State University,,ENTERED,Y,Y,
2836,SPENCER SEID,LHP,Grad Transfer,I,"University of California, San Diego",,ENTERED,Y,Y,
4089,LANDON MARCHETTI,LHP,Sophomore,I,"University of California, San Diego",,ENTERED,Y,Y,
4090,JULIAN CUSTER,RHP,,I,"University of California, San Diego",,ENTERED,Y,Y,
4091,BRANDON MT NGUYEN,,,I,"University of California, San Diego",,ENTERED,Y,Y,
4092,KADEN SMITH,C,,I,"University of California, San Diego",,ENTERED,Y,Y,
4093,RYSON UJIMORI,,,I,"University of California, San Diego",,ENTERED,Y,Y,
116,BRADYN BARNES,LHP,Sophomore,I,Arizona State University,CCL - Walnut Creek,ENTERED,,,Y
193,GABRIEL JACOBS,RHP,,II,Azusa Pacific University,,ENTERED,,Y,
194,ELIJAH COOK,,Junior,II,Azusa Pacific University,,ENTERED,,Y,
195,ALLAN CAMARILLO,,,II,Azusa Pacific University,,ENTERED,,Y,
196,MICHAEL EASTER,C,Senior?,II,Azusa Pacific University,,ENTERED,,Y,
197,DIEGO FREY,,Junior,II,Azusa Pacific University,,ENTERED,,Y,
198,TIMOTHY BLUHM,OF,Freshman,II,Azusa Pacific University,,ENTERED,,Y,
199,JUSTICE BRINSON,,,II,Azusa Pacific University,,ENTERED,,Y,
200,GAVIN HUNT,,,II,Azusa Pacific University,,ENTERED,,Y,
353,JAMES WHITMAN,1B/DH,Junior,II,Biola University,,ENTERED,,Y,
354,ALEX LAUREANO,,,II,Biola University,,ENTERED,,Y,
355,HUNTER KAUL,C,,II,Biola University,,ENTERED,,Y,
356,BRANDON RUIZ,,Grad Transfer,II,Biola University,,ENTERED,,Y,
357,SAM LISIAK,C,Grad Transfer,II,Biola University,,ENTERED,,Y,
503,RYAN KITTREDGE,RHP,Junior,I,California Baptist University,,ENTERED,,Y,
504,NIKO MT URQUIDI,LHP,Sophomore,I,California Baptist University,,ENTERED,,Y,
505,KADE FINAZZO,P,,I,California Baptist University,,ENTERED,,Y,
506,TREVOR SPAINHOWARD,,,I,California Baptist University,,ENTERED,,Y,
507,BROCK WIRTHGEN,,,I,California Baptist University,,ENTERED,,Y,
508,KAI CARANTO,INF,,III,California Lutheran University,,ENTERED,,Y,
509,ZACH GARDNER,,,III,California Lutheran University,,ENTERED,,Y,
510,FRANK WILLIUS,LHP,Sophomore,III,California Lutheran University,,ENTERED,,Y,
511,GRIFFIN ZITKO,,Grad Transfer,III,California Lutheran University,,ENTERED,,Y,
512,JOHN MT LANTERMAN,,,III,California Lutheran University,,ENTERED,,Y,
513,TANNER SAGOUSPE,RHP,Grad Transfer,I,California Polytechnic State University,,ENTERED,,Y,
514,REECE BUENO,RHP,Sophomore,I,California Polytechnic State University,,ENTERED,,Y,
515,CHARLIE ROYLE,P,,I,California Polytechnic State University,,ENTERED,,Y,
516,DYLAN KNOWLES,,,I,California Polytechnic State University,,ENTERED,,Y,
517,HENRY MCDONALD,C,,I,California Polytechnic State University,,ENTERED,,Y,
518,NICHOLAS GIMINO,,,I,California Polytechnic State University,,ENTERED,,Y,
519,KURT FELIX,,,I,California Polytechnic State University,,ENTERED,,Y,
520,MACKENZEE   MT HIGUCHI,C,Grad Transfer,I,California Polytechnic State University,,ENTERED,,Y,
521,VAUGHN MT MAJOR,RHP,,I,California Polytechnic State University,,ENTERED,,Y,
522,MARCO MALERBA,1B/DH,Grad Transfer,II,"California State Polytechnic University, Pomona",,ENTERED,,Y,
523,BRENT COTA,OF,Grad Transfer,II,"California State Polytechnic University, Pomona",,ENTERED,,Y,
524,CLAY MT PORTER,,,II,"California State Polytechnic University, Pomona",,ENTERED,,Y,
525,DAVID ALLEN,,,II,"California State Polytechnic University, Pomona",,ENTERED,,Y,
526,TYLER MT LEROY,C,Senior?,I,"California State University, Bakersfield",,ENTERED,,Y,
527,MICHAEL MT RILEY,RHP,Senior?,I,"California State University, Bakersfield",,ENTERED,,Y,
528,HAUZE FRAGOSO,P,,I,"California State University, Bakersfield",,ENTERED,,Y,
529,MATTHEW MT LOPEZ,,,I,"California State University, Bakersfield",,ENTERED,,Y,
530,JEREMY JONES,P,,I,"California State University, Bakersfield",,ENTERED,,Y,
531,HALDON CRAIG,P,,I,"California State University, Bakersfield",,ENTERED,,Y,
532,LOGAN BORBOA,P,,I,"California State University, Bakersfield",,ENTERED,,Y,
533,NOAH ALVAREZ,,,I,"California State University, Bakersfield",,ENTERED,,Y,
534,COOPER GERECKE,,,I,"California State University, Bakersfield",,ENTERED,,Y,
535,RYAN MT RUCH,,,I,"California State University, Bakersfield",,ENTERED,,Y,
536,ALEX URIAS-CALVILLO,P,,I,"California State University, Bakersfield",,ENTERED,,Y,
537,WILLIAM WHITE,,,I,"California State University, Bakersfield",,ENTERED,,Y,
538,DANTE JACKSON,P,,I,"California State University, Bakersfield",,ENTERED,,Y,
539,DANIEL VIERRA,C,Grad Transfer,II,"California State University, Chico",,ENTERED,,Y,
540,TROY KENT,,,II,"California State University, Chico",,ENTERED,,Y,
541,JOSEPH LOUBERT,,Grad Transfer,II,"California State University, Chico",,ENTERED,,Y,
542,KOREY LIKENS,,,II,"California State University, Chico",,ENTERED,,Y,
2855,CHASE AURAND,,,II,"California State University, Chico",,ENTERED,,Y,
543,NOAH   MT KARLINER,1B/DH,Grad Transfer,II,"California State University, Dominguez Hills",,ENTERED,,Y,
544,DYLAN SCHUMACHER,C,Grad Transfer,II,"California State University, Dominguez Hills",,ENTERED,,Y,
545,TREY   MT WINGET,OF,Junior,II,"California State University, Dominguez Hills",,ENTERED,,Y,
546,DYLAN   MT SINGH,,Grad Transfer,II,"California State University, Dominguez Hills",,ENTERED,,Y,
547,JULIAN CASTRO,P,,II,"California State University, Dominguez Hills",,ENTERED,,Y,
548,MASANOBU SASAKI,,,II,"California State University, Dominguez Hills",,ENTERED,,Y,
549,JUSTIN ABERCROMBIE,IF,,II,"California State University, Dominguez Hills",,ENTERED,,Y,
550,JACOB PFITZNER,,,II,"California State University, Dominguez Hills",,ENTERED,,Y,
551,JOEL GAITAN,P,Grad Transfer,II,"California State University, Dominguez Hills",,ENTERED,,Y,
552,JAYLEN HODGES,INF,,II,"California State University, East Bay",,ENTERED,,Y,
553,JAKE SEARLES,,,II,"California State University, East Bay",,ENTERED,,Y,
554,RYAN JURIC,P,,II,"California State University, East Bay",,ENTERED,,Y,
555,CALEB SCHAEFFER,RHP,,II,"California State University, East Bay",,ENTERED,,Y,
556,DANELLE DANIELS,,,II,"California State University, East Bay",,ENTERED,,Y,
557,JACOB PAPPAS,,,I,"California State University, Fresno",,ENTERED,,Y,
558,TYLER ANTWINE,,,I,"California State University, Fresno",,ENTERED,,Y,
559,ADRIAN GARCIA,,,I,"California State University, Fresno",,ENTERED,,Y,
560,CALEB ANDERSON,RHP,Grad Transfer,I,"California State University, Fresno",,ENTERED,,Y,
561,JOSE GUERRERO III,RHP,,I,"California State University, Fresno",,ENTERED,,Y,
562,HAYDEN CREWS,P,,I,"California State University, Fresno",,ENTERED,,Y,
563,MATTHEW GONSALVES,,,I,"California State University, Fresno",,ENTERED,,Y,
564,GIOVANNI GROPPETTI,,,I,"California State University, Fresno",,ENTERED,,Y,
565,MAXWELL SHOR,,,I,"California State University, Fresno",,ENTERED,,Y,
566,GARRETT MT SINFIELD,,,I,"California State University, Fresno",,ENTERED,,Y,
567,MADDOX LATTA,INF,Senior?,I,"California State University, Fullerton",,ENTERED,,Y,
568,PAYTON HAWKINSON,RHP,,I,"California State University, Fullerton",,ENTERED,,Y,
569,JAKOB SCHARDT,,,I,"California State University, Fullerton",,ENTERED,,Y,
570,SETH OWEN MT SUMNER,,,I,"California State University, Fullerton",,ENTERED,,Y,
571,CARTER JOHNSTONE,,,I,"California State University, Fullerton",,ENTERED,,Y,
572,MARCOS ROSALES,,,I,"California State University, Fullerton",,ENTERED,,Y,
573,CRISTIAN BREWSTER,,,I,"California State University, Fullerton",,ENTERED,,Y,
