fit,player,role,position,division,from_school,to_school,class_year,eligibility_remaining,height_in,weight_lb,status,ca_tie,sd_tie,socal_tie,hometown_city,hometown_state,high_school,ca_tie_reasons,hit,power,need,perf_pct,level_factor,likelihood,team,pa,ba,obp,slg,xwoba,xslg,avg_ev,decision_value,hr,ip,fip,k_bb,perceived_value,t2_stuff,inzone_whiff_pct,xwhiff_pct,priority,contact,scout_notes
77.0,Cameron Flukey,pitcher,P,,Coastal Carolina,,JR,1,78.0,210.0,ENTERED,0,0,0,Egg Harbor Township,NJ,Egg Harbor,,,,Weekend starter,0.987,0.7,8.4,Coastal Carolina,,,,,,,,,,79.2,2.44,5.47,125.6,120.5,,,,,
76.3,Carson Turnquist,pitcher,P,,Cal Poly,,JR,1,77.0,235.0,ENTERED,1,0,0,Paso Robles,CA,Paso Robles HS,hometown=CA;prev_school=CA,,,Weekend starter,0.966,0.7,19.0,Cal Poly,,,,,,,,,,2.2,23.8,1.5,112.3,118.4,,,,,
76.3,Hollis Porter,hitter,DH,I,Texas Tech,,JR,1,76.0,230.0,ENTERED,0,0,0,Hurley,MS,East Central,,57.6,69.1,,0.966,1.0,9.0,Maryland,,0.324,,,0.5,,95.4,,,,,,,,,,,,
76.1,MICAH WORLEY,pitcher,P,I,Stony Brook,,SR,1,77.0,220.0,ENTERED,0,0,0,Kirkwood,MO,Principia (Town & Country),,,,Weekend starter,0.979,1.0,9.3,Stony Brook,,,,,,,,,,66.1,,3.11,115.4,120.6,,,0.0,,
75.8,Ty Dalley,hitter,RF,I,Clemson,,SR,1,75.0,210.0,ENTERED,0,0,0,Vidalia,GA,Vidalia HS,,53.5,66.3,,0.886,1.0,11.4,Mercer,,0.265,,,0.444,,92.9,,,,,,,,,,,,
74.2,Aiden Stewart,hitter,2B,I,Indiana,,SR,1,70.0,190.0,ENTERED,0,0,0,Victor,NY,McQuaid Jesuit,,64.9,68.2,,0.877,1.0,11.7,Delaware,,0.389,,,0.466,,88.6,,,,,,,,,,,,
74.1,Nolan Straniero,pitcher,P,I,Arizona,,SR,1,74.0,200.0,ENTERED,0,0,0,Raleigh,NC,Leesville Road,,,,Weekend starter,0.855,1.0,12.4,Elon,,,,,,,,,,71.0,4.99,2.16,114.6,106.8,,,,,
74.0,Tommy Szczepanski,pitcher,P,,Michigan State,,SR,1,77.0,235.0,ENTERED,0,0,0,Bay City,MI,Garber,,,,Weekend starter,0.872,0.7,11.8,Michigan State,,,,,,,,,,9.0,5.62,1.3,102.3,110.9,,,,,
73.8,Connor Shouse,hitter,3B,,Texas Tech,,SO,2,73.0,194.0,ENTERED,0,0,0,Jasper,GA,Pickens County,,66.4,70.6,,0.916,0.7,10.5,Texas Tech,,0.364,,,0.471,,91.9,,,3.0,5.51,0.8,94.0,106.7,,,,,
73.7,Titan Kamaka,hitter,SS,I,Mercer,,SR,1,72.0,185.0,ENTERED,0,0,0,Orlando,FL,West Orange,,67.6,60.2,Everyday SS,0.918,1.0,11.7,Mercer,,0.412,,,0.417,,89.3,,,,,,,,,,,,
73.5,Tyler Minick,hitter,DH,I,Connecticut,,JR,1,72.0,196.0,ENTERED,0,0,0,Reading,PA,Governor Mifflin,,60.9,62.4,,0.933,1.0,10.0,Connecticut,,0.36,,,0.45,,92.1,,,,,,,,,,,,
73.4,Brennan Seiber,pitcher,P,,Vanderbilt,,JR,1,77.0,240.0,ENTERED,1,0,1,Newport Beach,CA,,hometown=CA;hometown=Newport Beach (SoCal),,,Weekend starter,0.841,0.7,30.8,Vanderbilt,,,,,,,,,,23.2,4.15,2.15,115.4,105.9,,,,,
73.3,RYAN JOHNSON,pitcher,P,I,Illinois,,SO,2,70.0,175.0,ENTERED,0,0,0,Carlisle,KY,Nicholas County HS,,,,Weekend starter,0.924,1.0,10.3,Eastern Kentucky,,0.0,,,0.185,,79.6,,,4.0,6.68,3.5,116.6,111.5,,,,,
73.2,Joseph Taylor,pitcher,P,I,Charlotte,,JR,1,71.0,180.0,ENTERED,0,0,0,Apex,NC,Pro 5 Baseball Academy,,,,Weekend starter,0.901,1.0,11.0,Charlotte,,,,,,,,,,57.2,4.62,1.88,101.2,114.1,,,,,
73.2,Robbie Lavey,hitter,C,,George Washington,,JR,1,72.0,215.0,ENTERED,0,0,0,Oakton,VA,Oakton,,68.2,69.1,,0.936,0.7,10.6,George Washington,,0.339,,,0.518,,93.5,,,,,,,,,,,,
73.2,Otto Espinoza,pitcher,P,,California,,FR,3,74.0,180.0,ENTERED,1,0,1,Huntington Beach,CA,Huntington Beach High School,hometown=CA;hometown=Huntington Beach (SoCal);prev_school=CA,,,Weekend starter,0.914,0.7,28.6,California,,,,,,,,,,,,,106.1,113.2,,,,,
73.0,ALEXANDER PHILPOTT,pitcher,P,I,South Carolina,,JR,1,78.0,200.0,ENTERED,0,0,0,Tampa,FL,Strawberry Crest,,,,Weekend starter,0.829,1.0,13.1,Florida,,,,,,,,,,35.2,5.25,2.69,107.6,106.4,,,,,
