game_date,location,attendance,inning,inning_top_bot,outs,score,batting,fielding,batting_team_norm,pitching_team_norm,inning_leadoff,is_pa,reached_base,runs_scored_half,event_category,total_bases,any_adv,is_walk,is_hbp,is_k,defensive_error,description,game_pbp_url,game_pbp_id
04/26/2026,,677,1,top,1,0-0,Saint Mary's (CA) Gaels,San Diego Toreros,Saint Mary's (CA) Gaels,USD,0,1,0,0,other,0,0,0,0,0,0,"Griffith,Tanner flied out to cf (1-1 FB).",https://stats.ncaa.org/contests/6507275/play_by_play,6507275
04/26/2026,,677,1,top,2,0-0,Saint Mary's (CA) Gaels,San Diego Toreros,Saint Mary's (CA) Gaels,USD,0,1,0,0,other,0,0,0,0,0,0,"Castellanos,Diego grounded out to short, ss to 1b (0-0).",https://stats.ncaa.org/contests/6507275/play_by_play,6507275
04/26/2026,,677,1,top,3,0-0,Saint Mary's (CA) Gaels,San Diego Toreros,Saint Mary's (CA) Gaels,USD,0,1,0,0,other,0,0,0,0,0,0,"Sniffen,Makoa flied out to rf (1-2 SSFBF).",https://stats.ncaa.org/contests/6507275/play_by_play,6507275
04/26/2026,,677,1,bot,0,0-0,San Diego Toreros,Saint Mary's (CA) Gaels,USD,Saint Mary's (CA) Gaels,1,1,1,0,walk,0,0,1,0,0,0,"Moran,CJ walked (3-0 BBBB).",https://stats.ncaa.org/contests/6507275/play_by_play,6507275
04/26/2026,,677,1,bot,1,0-0,San Diego Toreros,Saint Mary's (CA) Gaels,USD,Saint Mary's (CA) Gaels,0,1,0,0,other,0,0,0,0,0,0,"Mestas,Gage flied out to cf (0-1 K).",https://stats.ncaa.org/contests/6507275/play_by_play,6507275
04/26/2026,,677,1,bot,2,0-0,San Diego Toreros,Saint Mary's (CA) Gaels,USD,Saint Mary's (CA) Gaels,0,1,0,0,other,0,0,0,0,0,0,"Moran,CJ out at first base, p to 1b to ss to p to c to ss, picked off.",https://stats.ncaa.org/contests/6507275/play_by_play,6507275
04/26/2026,,677,1,bot,2,0-0,San Diego Toreros,Saint Mary's (CA) Gaels,USD,Saint Mary's (CA) Gaels,0,1,1,0,single,1,0,0,0,0,0,"Gauna,Andrew singled to center field (0-1 K).",https://stats.ncaa.org/contests/6507275/play_by_play,6507275
04/26/2026,,677,1,bot,2,0-0,San Diego Toreros,Saint Mary's (CA) Gaels,USD,Saint Mary's (CA) Gaels,0,1,1,0,walk,0,0,1,0,0,0,"Gonzalez,Diego walked (3-1 BBBKB); Gauna,Andrew advanced to second base.",https://stats.ncaa.org/contests/6507275/play_by_play,6507275
04/26/2026,,677,1,bot,3,0-0,San Diego Toreros,Saint Mary's (CA) Gaels,USD,Saint Mary's (CA) Gaels,0,1,0,0,other,0,0,0,0,0,0,"Lobliner,Jayden grounded out to first base, unassisted (0-1 K).",https://stats.ncaa.org/contests/6507275/play_by_play,6507275
04/26/2026,,677,2,top,1,0-0,Saint Mary's (CA) Gaels,San Diego Toreros,Saint Mary's (CA) Gaels,USD,0,1,0,0,other,0,0,0,0,1,0,"Armstrong,Ian struck out swinging (2-2 FSBBS).",https://stats.ncaa.org/contests/6507275/play_by_play,6507275
04/26/2026,,677,2,top,2,0-0,Saint Mary's (CA) Gaels,San Diego Toreros,Saint Mary's (CA) Gaels,USD,0,1,0,0,other,0,0,0,0,0,0,"Josephson,Ian lined out to cf (1-0 B).",https://stats.ncaa.org/contests/6507275/play_by_play,6507275
04/26/2026,,677,2,top,3,0-0,Saint Mary's (CA) Gaels,San Diego Toreros,Saint Mary's (CA) Gaels,USD,0,1,0,0,other,0,0,0,0,0,0,"Johnson,Jacob flied out to cf (3-2 BFBBF).",https://stats.ncaa.org/contests/6507275/play_by_play,6507275
