game_date,location,attendance,inning,inning_top_bot,outs,score,batting,fielding,batting_team_norm,pitching_team_norm,inning_leadoff,is_pa,reached_base,runs_scored_half,event_category,total_bases,any_adv,is_walk,is_hbp,is_k,defensive_error,description,game_pbp_url,game_pbp_id
05/10/2026,"Klein Family Field (Stockton, CA)",418,1,top,0,0-0,San Diego Toreros,Pacific Tigers,USD,Pacific Tigers,1,1,1,0,single,1,0,0,0,0,0,CJ Moran singled to right field (0-0).,https://stats.ncaa.org/contests/6507956/play_by_play,6507956
05/10/2026,"Klein Family Field (Stockton, CA)",418,1,top,1,0-0,San Diego Toreros,Pacific Tigers,USD,Pacific Tigers,0,1,0,0,other,0,0,0,0,0,0,"CJ Moran out at first p to 1b, picked off.",https://stats.ncaa.org/contests/6507956/play_by_play,6507956
05/10/2026,"Klein Family Field (Stockton, CA)",418,1,top,1,0-0,San Diego Toreros,Pacific Tigers,USD,Pacific Tigers,0,1,1,0,walk,0,0,1,0,0,0,Gage Mestas walked (3-2 BBBKFB).,https://stats.ncaa.org/contests/6507956/play_by_play,6507956
05/10/2026,"Klein Family Field (Stockton, CA)",418,1,top,1,0-0,San Diego Toreros,Pacific Tigers,USD,Pacific Tigers,0,1,1,0,walk,0,1,1,0,0,1,"Andrew Gauna walked (3-2 BBSFFBB); Gage Mestas advanced to second, advanced to third on a throwing error by c.",https://stats.ncaa.org/contests/6507956/play_by_play,6507956
05/10/2026,"Klein Family Field (Stockton, CA)",418,1,top,2,0-0,San Diego Toreros,Pacific Tigers,USD,Pacific Tigers,0,1,0,0,other,0,0,0,0,1,0,Phoenix Brant struck out looking (2-2 BBFFFK).,https://stats.ncaa.org/contests/6507956/play_by_play,6507956
05/10/2026,"Klein Family Field (Stockton, CA)",418,1,top,3,0-0,San Diego Toreros,Pacific Tigers,USD,Pacific Tigers,0,1,0,0,other,0,1,0,0,0,0,"Andrew Gauna stole second; Gage Mestas out at third p to 2b to 1b to 2b to 3b, picked off.",https://stats.ncaa.org/contests/6507956/play_by_play,6507956
05/10/2026,"Klein Family Field (Stockton, CA)",418,1,bot,1,0-0,Pacific Tigers,San Diego Toreros,Pacific Tigers,USD,0,1,0,0,other,0,0,0,0,0,0,Brendan O'Sullivan grounded out to 2b (0-1 K).,https://stats.ncaa.org/contests/6507956/play_by_play,6507956
05/10/2026,"Klein Family Field (Stockton, CA)",418,1,bot,2,0-0,Pacific Tigers,San Diego Toreros,Pacific Tigers,USD,0,1,0,0,other,0,0,0,0,1,0,"JT Shank struck out swinging, out at first c to 1b (3-2 BBBFSS).",https://stats.ncaa.org/contests/6507956/play_by_play,6507956
05/10/2026,"Klein Family Field (Stockton, CA)",418,1,bot,2,0-0,Pacific Tigers,San Diego Toreros,Pacific Tigers,USD,0,1,1,0,single,1,0,0,0,0,0,Jake Tandy singled to left center (0-1 K).,https://stats.ncaa.org/contests/6507956/play_by_play,6507956
05/10/2026,"Klein Family Field (Stockton, CA)",418,1,bot,3,0-0,Pacific Tigers,San Diego Toreros,Pacific Tigers,USD,0,1,1,0,other,0,0,0,0,0,0,Grant MacArthur reached on a fielder's choice (2-1 BBK); Jake Tandy out at second 3b to 2b.,https://stats.ncaa.org/contests/6507956/play_by_play,6507956
05/10/2026,"Klein Family Field (Stockton, CA)",418,2,top,0,0-0,San Diego Toreros,Pacific Tigers,USD,Pacific Tigers,1,1,1,1,single,1,0,0,0,0,0,Jayden Lobliner singled up the middle (0-2 KKF).,https://stats.ncaa.org/contests/6507956/play_by_play,6507956
