game_date,location,attendance,inning,inning_top_bot,outs,score,batting,fielding,batting_team_norm,pitching_team_norm,inning_leadoff,is_pa,reached_base,runs_scored_half,event_category,total_bases,any_adv,is_walk,is_hbp,is_k,defensive_error,description,game_pbp_url,game_pbp_id
04/18/2026,,664,1,top,0,0-0,Seattle U Redhawks,San Diego Toreros,Seattle U Redhawks,USD,1,1,1,0,walk,0,0,1,0,0,0,"Knowles,Payton walked (3-2 KFBBBB).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,1,top,1,0-0,Seattle U Redhawks,San Diego Toreros,Seattle U Redhawks,USD,0,1,0,0,other,0,0,0,0,0,0,"Rhein,Kenny lined out to cf (2-2 KKBFB).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,1,top,1,0-0,Seattle U Redhawks,San Diego Toreros,Seattle U Redhawks,USD,0,1,1,0,single,1,0,0,0,0,0,"Horner,Tyler singled through the right side of the infield (2-2 KBKFB); Knowles,Payton advanced to second base.",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,1,top,2,0-0,Seattle U Redhawks,San Diego Toreros,Seattle U Redhawks,USD,0,1,0,0,other,0,0,0,0,1,0,"Hale,Royce struck out looking (2-2 BKBKFK).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,1,top,3,0-0,Seattle U Redhawks,San Diego Toreros,Seattle U Redhawks,USD,0,1,0,0,other,0,0,0,0,0,0,"Beauchaine,Jake popped up to shallow left field putout by lf (1-0 B).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,1,bot,1,0-0,San Diego Toreros,Seattle U Redhawks,USD,Seattle U Redhawks,0,1,0,0,other,0,0,0,0,1,0,"Gauna,Andrew struck out swinging (1-2 KKBS).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,1,bot,2,0-0,San Diego Toreros,Seattle U Redhawks,USD,Seattle U Redhawks,0,1,0,0,other,0,0,0,0,0,0,"Lobliner,Jayden grounded out to short, ss to 1b (2-2 BFFB).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,1,bot,3,0-0,San Diego Toreros,Seattle U Redhawks,USD,Seattle U Redhawks,0,1,0,0,other,0,0,0,0,0,0,"Moran,CJ flied out down the left field line putout by lf (0-2 KK).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,2,top,0,0-0,Seattle U Redhawks,San Diego Toreros,Seattle U Redhawks,USD,1,1,1,2,single,1,0,0,0,0,0,"Manale,Ryder singled to right center (2-0 BB).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,2,top,1,0-0,Seattle U Redhawks,San Diego Toreros,Seattle U Redhawks,USD,0,1,0,2,other,0,0,0,0,0,0,"Stinnett,Brandon flied out to cf (0-0).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,2,top,1,0-0,Seattle U Redhawks,San Diego Toreros,Seattle U Redhawks,USD,0,1,1,2,single,1,0,0,0,0,0,"Carlson,Hayden singled to center field (1-1 BK); Manale,Ryder advanced to second base.",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,2,top,2,0-0,Seattle U Redhawks,San Diego Toreros,Seattle U Redhawks,USD,0,1,0,2,other,0,0,0,0,1,0,"Erdman,Cash struck out looking (1-2 KFBK).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,2,top,2,2-0,Seattle U Redhawks,San Diego Toreros,Seattle U Redhawks,USD,0,1,1,2,double,2,0,0,0,0,1,"Knowles,Payton doubled to deep right field, 2RBI (1-1 BK); Manale,Ryder scored from second base; Carlson,Hayden scored from first base; Knowles,Payton advanced to third base on play and a throwing error by Gonzalez,Diego (E4).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,2,top,3,2-0,Seattle U Redhawks,San Diego Toreros,Seattle U Redhawks,USD,0,1,0,2,other,0,0,0,0,0,0,"Rhein,Kenny flied out to lf (1-0 B).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,2,bot,1,2-0,San Diego Toreros,Seattle U Redhawks,USD,Seattle U Redhawks,0,1,0,4,other,0,0,0,0,0,0,"Meidroth,Connor flied out to rf (0-1 K).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,2,bot,1,2-0,San Diego Toreros,Seattle U Redhawks,USD,Seattle U Redhawks,0,1,0,4,other,0,0,0,0,0,0,"Brant,Phoenix struck out on a dropped third strike and reached on a wild pitch (0-3 SSS).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,2,bot,1,2-0,San Diego Toreros,Seattle U Redhawks,USD,Seattle U Redhawks,0,1,1,4,single,1,0,0,0,0,0,"Mestas,Gage singled through the right side of the infield (2-2 BKBF); Brant,Phoenix advanced to second base.",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,2,bot,1,2-0,San Diego Toreros,Seattle U Redhawks,USD,Seattle U Redhawks,0,1,1,4,walk,0,0,1,0,0,0,"Martinez,Cade walked (3-2 SBSFFBBFFFB); Brant,Phoenix advanced to third base; Mestas,Gage advanced to second base.",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,2,bot,1,2-1,San Diego Toreros,Seattle U Redhawks,USD,Seattle U Redhawks,0,1,1,4,single,1,0,0,0,0,0,"Howard,Aden infield singled to the pitcher's mound, bunt, RBI (0-1 F); Brant,Phoenix scored; Mestas,Gage advanced to third base; Martinez,Cade advanced to second base.",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,2,bot,1,2-1,San Diego Toreros,Seattle U Redhawks,USD,Seattle U Redhawks,0,0,0,4,other,0,0,0,0,0,0,Offensive timeout (USD),https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,2,bot,1,2-3,San Diego Toreros,Seattle U Redhawks,USD,Seattle U Redhawks,0,1,1,4,single,1,0,0,0,0,1,"Gonzalez,Diego infield singled to the pitcher's mound, bunt, RBI (0-1 N); Mestas,Gage scored; Martinez,Cade scored from second base on play and a throwing error by Hammer,Kale (E1); Howard,Aden advanced from first base to third base on play and error.",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,2,bot,2,2-4,San Diego Toreros,Seattle U Redhawks,USD,Seattle U Redhawks,0,1,0,4,other,0,1,0,0,0,0,"Gauna,Andrew sacrifice fly to lf, RBI (0-1 F); Howard,Aden scored, unearned.",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,2,bot,3,2-4,San Diego Toreros,Seattle U Redhawks,USD,Seattle U Redhawks,0,1,0,4,other,0,0,0,0,0,0,"Lobliner,Jayden flied out to rf (1-2 FBF).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,3,top,0,2-4,Seattle U Redhawks,San Diego Toreros,Seattle U Redhawks,USD,1,1,1,0,single,1,0,0,0,0,0,"Horner,Tyler singled to left center (0-2 KF).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,3,top,1,2-4,Seattle U Redhawks,San Diego Toreros,Seattle U Redhawks,USD,0,1,0,0,other,0,0,0,0,0,0,"Hale,Royce flied out to cf (0-1 S).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,3,top,2,2-4,Seattle U Redhawks,San Diego Toreros,Seattle U Redhawks,USD,0,1,0,0,other,0,0,0,0,0,0,"Beauchaine,Jake flied out to right center putout by cf (1-1 KB).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,3,top,2,2-4,Seattle U Redhawks,San Diego Toreros,Seattle U Redhawks,USD,0,1,1,0,double,2,0,0,0,0,0,"Manale,Ryder doubled down the left field line (1-0 B); Horner,Tyler advanced from first base to third base.",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,3,top,3,2-4,Seattle U Redhawks,San Diego Toreros,Seattle U Redhawks,USD,0,1,0,0,other,0,0,0,0,0,0,"Stinnett,Brandon flied out to right center putout by cf (1-1 BK).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,3,bot,0,2-4,San Diego Toreros,Seattle U Redhawks,USD,Seattle U Redhawks,1,1,1,2,walk,0,0,1,0,0,0,"Moran,CJ walked (3-1 BBBKB).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,3,bot,0,2-4,San Diego Toreros,Seattle U Redhawks,USD,Seattle U Redhawks,0,1,1,2,double,2,0,0,0,0,0,"Meidroth,Connor doubled to right field (1-2 KFFB); Moran,CJ advanced from first base to third base.",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,3,bot,0,2-6,San Diego Toreros,Seattle U Redhawks,USD,Seattle U Redhawks,0,1,1,2,single,1,0,0,0,0,0,"Brant,Phoenix singled to center field, 2RBI (0-2 KSF); Moran,CJ scored; Meidroth,Connor scored from second base.",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,3,bot,1,2-6,San Diego Toreros,Seattle U Redhawks,USD,Seattle U Redhawks,0,1,0,2,other,0,0,0,0,1,0,"Mestas,Gage struck out swinging (1-2 BFFS).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,3,bot,2,2-6,San Diego Toreros,Seattle U Redhawks,USD,Seattle U Redhawks,0,1,0,2,other,0,0,0,0,1,0,"Martinez,Cade struck out swinging (0-2 KKS).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,3,bot,3,2-6,San Diego Toreros,Seattle U Redhawks,USD,Seattle U Redhawks,0,1,0,2,other,0,0,0,0,0,0,"Howard,Aden flied out to rf (3-2 BBSFBF).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,4,top,0,2-6,Seattle U Redhawks,San Diego Toreros,Seattle U Redhawks,USD,1,1,1,1,hit_by_pitch,0,0,0,1,0,0,"Carlson,Hayden hit by pitch (1-2 FFBFB).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,4,top,1,2-6,Seattle U Redhawks,San Diego Toreros,Seattle U Redhawks,USD,0,1,0,1,other,0,1,0,0,0,0,"Erdman,Cash sacrifice bunt to the infield, p to 1b (1-0 B); Carlson,Hayden advanced to second base.",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,4,top,1,3-6,Seattle U Redhawks,San Diego Toreros,Seattle U Redhawks,USD,0,1,1,1,single,1,0,0,0,0,0,"Knowles,Payton singled up the middle, RBI (1-0 B); Carlson,Hayden scored from second base.",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,4,top,2,3-6,Seattle U Redhawks,San Diego Toreros,Seattle U Redhawks,USD,0,1,0,1,other,0,0,0,0,0,0,"Rhein,Kenny flied out to right center putout by rf (2-2 BBKFF).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,4,top,2,3-6,Seattle U Redhawks,San Diego Toreros,Seattle U Redhawks,USD,0,0,0,1,other,0,0,0,0,0,0,"Knowles,Payton advanced to second base on a wild pitch.",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,4,top,3,3-6,Seattle U Redhawks,San Diego Toreros,Seattle U Redhawks,USD,0,1,0,1,other,0,0,0,0,1,0,"Horner,Tyler struck out swinging (1-2 BKKS).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,4,bot,1,3-6,San Diego Toreros,Seattle U Redhawks,USD,Seattle U Redhawks,0,1,0,0,other,0,0,0,0,0,0,"Gonzalez,Diego grounded out to the right side of the infield, 2b to 1b (0-2 KK).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,4,bot,2,3-6,San Diego Toreros,Seattle U Redhawks,USD,Seattle U Redhawks,0,1,0,0,other,0,0,0,0,0,0,"Gauna,Andrew flied out to shallow right field putout by 2b (0-1 K).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
04/18/2026,,664,4,bot,3,3-6,San Diego Toreros,Seattle U Redhawks,USD,Seattle U Redhawks,0,1,0,0,other,0,0,0,0,0,0,"Lobliner,Jayden grounded out to the infield, c to 1b, bunt (0-0).",https://stats.ncaa.org/contests/6540018/play_by_play,6540018
