game_date,location,attendance,inning,inning_top_bot,score,batting,fielding,description,game_pbp_url,game_pbp_id
02/17/2026,"Blair Field (Long Beach, CA)",1110,1,top,0-0,Away,Home,"Howard,Aden struck out swinging (1-2 BSKS).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,1,top,0-0,Away,Home,"Moran,CJ walked (3-2 SKFBBBB).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,1,top,0-0,Away,Home,"Moran,CJ out caught stealing at first base, c to 2b to 1b.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,1,top,0-0,Away,Home,"Springer,Gabe walked (3-2 BFBFFBB).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,1,top,0-0,Away,Home,"Springer,Gabe out caught stealing at second base, c to 2b.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,1,bot,0-0,Home,Away,"Goldenetz,Trevor singled in the infield, bunt (0-0).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,1,bot,0-0,Home,Away,"Goldenetz,Trevor advanced to second base on a throwing error by Piper,Logan (E1).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,1,bot,0-0,Home,Away,"Gasser,Camden singled in the infield, bunt (1-1 FB)3a Goldenetz,Trevor advanced to third base.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,1,bot,0-0,Home,Away,"Lina,Dylan struck out swinging (3-2 KBSBBS).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,1,bot,0-1,Home,Away,"Toomey,Matt sacrifice fly to deep center field putout by cf, RBI (2-0 BB)3a Goldenetz,Trevor scored3a Gasser,Camden advanced to second base.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,1,bot,0-1,Home,Away,"Enright,Trotter grounded out to the pitcher, p to 1b (2-0 BB).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,2,top,0-1,Away,Home,"Lobliner,Jayden grounded out to third base, 3b to 1b (1-1 BS).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,2,top,0-1,Away,Home,"Meidroth,Connor singled to center field (0-1 K).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,2,top,0-1,Away,Home,"Meidroth,Connor out caught stealing at second base, p to 1b to ss.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,2,top,0-1,Away,Home,"Greer,Jayton struck out swinging (2-2 KKBBS).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,2,bot,0-1,Home,Away,"Chandler,Smith grounded out, ss to 1b (0-0).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,2,bot,0-1,Home,Away,"Perez,Aaron fouled out to 3b (3-2 BBKSBF).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,2,bot,0-1,Home,Away,"Evans,Jake fouled out to c (1-0 B).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,3,top,0-1,Away,Home,"Gauna,Andrew hit by pitch (3-0 BBBB).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,3,top,0-1,Away,Home,"Kern,Tanner hit by pitch (2-2 BBKFB)3a Gauna,Andrew advanced to second base.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,3,top,0-1,Away,Home,"Mestas,Gage popped up to 3b (3-2 BFBKB).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,3,top,0-1,Away,Home,"Kern,Tanner out caught stealing at second base, c to 2b.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,3,top,0-1,Away,Home,"Howard,Aden grounded out, 3b to 1b (1-1 BK).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,3,bot,0-1,Home,Away,"Valdez,Damon popped up to 1b (3-2 FBBKBF).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,3,bot,0-1,Home,Away,"Goldenetz,Trevor hit by pitch (1-0 BB).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,3,bot,0-1,Home,Away,"Goldenetz,Trevor stole second base.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,3,bot,0-1,Home,Away,"Gasser,Camden walked (3-1 BKBBB).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,3,bot,0-1,Home,Away,"USD pitching change: Palencia,Fernando replaces Piper,Logan.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,3,bot,0-1,Home,Away,"Lina,Dylan struck out swinging (1-2 KKBS).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,3,bot,0-1,Home,Away,"Toomey,Matt popped up to the left side of the infield putout by lf (2-2 FFBFBFF).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,4,top,0-1,Away,Home,"Moran,CJ walked (3-1 BBBKB).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,4,top,0-1,Away,Home,"Springer,Gabe grounded into double play, 2b to ss to 1b (1-0 B)3a Moran,CJ out at 2B on the play, 2b to ss, in a double play.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,4,top,0-1,Away,Home,"Lobliner,Jayden struck out swinging (0-2 KKS).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,4,bot,0-1,Home,Away,"Enright,Trotter doubled to deep center field (0-0).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,4,bot,0-1,Home,Away,"Chandler,Smith sacrifice bunt, p to 1b (1-1 BF)3a Enright,Trotter advanced to third base.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,4,bot,0-2,Home,Away,"Perez,Aaron sacrifice fly to cf, RBI (0-2 KKF)3a Enright,Trotter scored.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,4,bot,0-2,Home,Away,"Evans,Jake grounded out, ss to 1b (1-2 SBK).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,5,top,0-2,Away,Home,"Meidroth,Connor hit by pitch (3-0 BBBB).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,5,top,0-2,Away,Home,"Greer,Jayton flied out to rf (0-1 F).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,5,top,0-2,Away,Home,"LBST pitching change: Ramos,Alex replaces Baker,Jaxon.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,5,top,0-2,Away,Home,"Gauna,Andrew reached on a fielder's choice hit to third base (1-2 KBF)3a Meidroth,Connor advanced to second base3a Gauna,Andrew out at first base, 3b to 1b.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,5,top,0-2,Away,Home,"Kern,Tanner flied out to lf (0-2 KS).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,5,top,0-2,Away,Home,"USD pitching change: Rovin,Porter replaces Palencia,Fernando.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,5,top,0-2,Away,Home,"Valdez,Damon lined out to 3b (0-1 K).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,5,bot,0-2,Home,Away,"Goldenetz,Trevor popped up to 3b (0-1 K).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,5,bot,0-2,Home,Away,"Gasser,Camden grounded out to 1b, unassisted (3-1 BBBK).",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
02/17/2026,"Blair Field (Long Beach, CA)",1110,5,bot,0-2,Home,Away,"LBST pitching change: Gebb,Tyler replaces Ramos,Alex.",https://stats.ncaa.org/contests/6500370/play_by_play,6500370
