contest_id,away_short,home_short
6500370,San Diego Toreros,Long Beach St. Beach
6536340,San Diego Toreros,Charlotte 49ers
6536345,San Diego Toreros,Charlotte 49ers
6536347,San Diego Toreros,Charlotte 49ers
6500243,Utah Utes,San Diego Toreros
6519516,Creighton Bluejays,San Diego Toreros
6530004,San Diego Toreros,San Diego St. Aztecs
6548823,San Diego Toreros,UC San Diego Tritons
6504195,Michigan Wolverines,San Diego Toreros
6504197,Michigan Wolverines,San Diego Toreros
6504202,Michigan Wolverines,San Diego Toreros
6542915,San Diego Toreros,California Golden Bears
6542917,San Diego Toreros,California Golden Bears
6542916,San Diego Toreros,California Golden Bears
6542918,San Diego Toreros,California Golden Bears
6539457,San Diego Toreros,Southern California Trojans
6514969,Oregon St. Beavers,San Diego Toreros
6514970,Oregon St. Beavers,San Diego Toreros
6514972,Oregon St. Beavers,San Diego Toreros
6498744,Gonzaga Bulldogs,San Diego Toreros
6498745,Gonzaga Bulldogs,San Diego Toreros
6498746,Gonzaga Bulldogs,San Diego Toreros
6544451,Cal St. Fullerton Titans,San Diego Toreros
6566761,San Diego Toreros,Pepperdine Waves
6566769,San Diego Toreros,Pepperdine Waves
6566770,San Diego Toreros,Pepperdine Waves
6535528,Santa Clara Broncos,San Diego Toreros
6535529,Santa Clara Broncos,San Diego Toreros
6535530,Santa Clara Broncos,San Diego Toreros
6437852,San Diego Toreros,UC Irvine Anteaters
6522571,San Diego Toreros,San Francisco Dons
6507272,Saint Mary's (CA) Gaels,San Diego Toreros
6540017,Seattle U Redhawks,San Diego Toreros
6540018,Seattle U Redhawks,San Diego Toreros
6540019,Seattle U Redhawks,San Diego Toreros
6544452,San Diego Toreros,Cal St. Fullerton Titans
6548826,UC San Diego Tritons,San Diego Toreros
