game_date,location,attendance,inning,inning_top_bot,score,batting,fielding,description,game_pbp_url,game_pbp_id
02/15/2024,"San Diego, CA",,1,top,0-0,USD,Opponent,Smith singled to center.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,1,top,0-0,USD,Opponent,Jones flied out to right.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,1,top,0-0,USD,Opponent,Williams walked.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,1,top,0-0,USD,Opponent,Davis struck out swinging.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,1,top,0-0,USD,Opponent,Brown grounded out to short.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,2,bot,0-1,Opponent,USD,Wilson doubled down the left field line.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,2,bot,0-1,Opponent,USD,Taylor popped out to second.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,2,bot,0-1,Opponent,USD,Martinez hit by pitch.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,2,bot,0-1,Opponent,USD,Anderson singled to right.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,2,bot,0-1,Opponent,USD,Thomas struck out looking.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,3,top,1-1,USD,Opponent,Jackson grounded into double play.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,3,top,1-1,USD,Opponent,White homered to left center.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,3,top,1-1,USD,Opponent,Harris lined out to third.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,3,top,1-1,USD,Opponent,Clark singled to left.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,3,top,1-1,USD,Opponent,Lewis flied out to center.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,4,bot,1-2,Opponent,USD,Robinson walked.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,4,bot,1-2,Opponent,USD,Young grounded out to first.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,4,bot,1-2,Opponent,USD,King struck out swinging.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,4,bot,1-2,Opponent,USD,Wright singled to right.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,4,bot,1-2,Opponent,USD,Scott flied out to left.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,5,top,2-2,USD,Opponent,Green doubled to right.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,5,top,2-2,USD,Opponent,Adams grounded out to second.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,5,top,2-2,USD,Opponent,Nelson struck out looking.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,5,top,2-2,USD,Opponent,Hill popped out to first.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,5,top,2-2,USD,Opponent,Baker singled to center.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,6,bot,2-3,Opponent,USD,Garcia flied out to right.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,6,bot,2-3,Opponent,USD,Lee grounded out to third.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,6,bot,2-3,Opponent,USD,Hall walked.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,6,bot,2-3,Opponent,USD,Allen struck out swinging.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,6,bot,2-3,Opponent,USD,Turner singled to left.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,7,top,3-3,USD,Opponent,Phillips flied out to center.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,7,top,3-3,USD,Opponent,Campbell grounded out to short.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,7,top,3-3,USD,Opponent,Parker homered to right.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,7,top,3-3,USD,Opponent,Evans lined out to short.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,7,top,3-3,USD,Opponent,Edwards struck out looking.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,8,bot,3-4,Opponent,USD,Collins singled to right.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,8,bot,3-4,Opponent,USD,Stewart flied out to left.,https://stats.ncaa.org/game/play_by_play/12345,12345
02/15/2024,"San Diego, CA",,8,bot,3-4,Opponent,USD,Morris grounded out to second.,https://stats.ncaa.org/game/play_by_play/12345,12345
