game_date,opponent,home_away,result,attendance,contest_id,game_url
02/13/2026,Charlotte,Away,W 7-4,721,6536340,https://stats.ncaa.org/contests/6536340/box_score
02/14/2026(1),Charlotte,Away,L 0-13,0,6536345,https://stats.ncaa.org/contests/6536345/box_score
02/14/2026(2),Charlotte,Away,W 14-4,805,6536347,https://stats.ncaa.org/contests/6536347/box_score
02/17/2026,Long Beach St.,Away,W 6-3 (11),"1,110",6500370,https://stats.ncaa.org/contests/6500370/box_score
02/20/2026 08:00 PM,Utah,Home,,,,
02/21/2026 09:00 PM,Creighton,Home,,,,
02/22/2026 08:00 PM,San Diego St.,Away,,,,
02/24/2026 09:00 PM,UC San Diego,Away,,,,
02/27/2026 09:00 PM,Michigan,Home,,,,
02/28/2026 09:00 PM,Michigan,Home,,,,
03/01/2026 04:00 PM,Michigan,Home,,,,
03/06/2026 09:05 PM,California,Away,,,,
03/07/2026 04:05 PM(1),California,Away,,,,
03/07/2026 08:05 PM(2),California,Away,,,,
03/08/2026 04:05 PM,California,Away,,,,
03/11/2026 09:00 PM,Southern California,Away,,,,
03/13/2026 09:00 PM,Oregon St.,Home,,,,
03/14/2026 08:00 PM,Oregon St.,Home,,,,
03/15/2026 04:00 PM,Oregon St.,Home,,,,
03/20/2026 09:00 PM,Gonzaga,Home,,,,
03/21/2026 08:00 PM,Gonzaga,Home,,,,
03/22/2026 04:00 PM,Gonzaga,Home,,,,
03/24/2026 09:00 PM,Cal St. Fullerton,Home,,,,
04/02/2026 09:00 PM,Santa Clara,Home,,,,
04/03/2026 09:00 PM,Santa Clara,Home,,,,
04/04/2026 04:00 PM,Santa Clara,Home,,,,
04/07/2026 09:00 PM,UC Irvine,Away,,,,
04/10/2026 05:00 PM,San Francisco,Away,,,,
04/11/2026 04:00 PM,San Francisco,Away,,,,
04/12/2026 04:00 PM,San Francisco,Away,,,,
04/14/2026 09:00 PM,Cal St. Fullerton,Away,,,,
04/17/2026 09:00 PM,Seattle U,Home,,,,
04/18/2026 08:00 PM,Seattle U,Home,,,,
04/19/2026 04:00 PM,Seattle U,Home,,,,
04/21/2026 09:00 PM,UC San Diego,Home,,,,
04/24/2026 09:00 PM,Saint Mary's (CA),Home,,,,
04/25/2026 08:00 PM,Saint Mary's (CA),Home,,,,
04/26/2026 04:00 PM,Saint Mary's (CA),Home,,,,
04/30/2026 09:00 PM,Portland,Away,,,,
05/01/2026 09:00 PM,Portland,Away,,,,
05/02/2026 03:00 PM,Portland,Away,,,,
05/05/2026 09:00 PM,UC Irvine,Home,,,,
05/08/2026 09:00 PM,Pacific,Away,,,,
05/09/2026 06:00 PM,Pacific,Away,,,,
05/10/2026 04:00 PM,Pacific,Away,,,,
05/14/2026 09:00 PM,LMU (CA),Home,,,,
05/15/2026 09:00 PM,LMU (CA),Home,,,,
05/16/2026 04:00 PM,LMU (CA),Home,,,,
