player_id,full_name,from_school,position,class_year,division,hometown_city,hometown_state,high_school,height_in,weight_lb,ca_tie,socal_tie,sd_tie,ca_tie_reasons,has_evaluation,has_hitting,has_pitching,has_arsenal,bio_evidence_rows,bio_evidence_files,latest_event_source,latest_event_date,latest_event_url,gaps
34824,Abe Delano,Northern Kentucky,P,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2025-12-02,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34821,Anthony Wilkie,Clemson,P,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2025-12-04,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34662,Austin O'Hara,George Mason,C,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-05-29,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34736,Avery Shiflett,Kennesaw State,P,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-05-26,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34523,Ben McMillan,Charleston Southern,P,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-06-02,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34664,Brandon Candelora,Central Connecticut,P,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-05-29,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34695,Brandon Menser,Cincinnati,P,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-05-28,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34856,Brayden Gum,Missouri State,P,SO,,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2025-12-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34588,Caden Marcum,Ohio State,P,JR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34820,Cannon Feazell,Clemson,P,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2025-12-04,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34755,Carter Kocik,Mercyhurst,UTL,JR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-05-21,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34770,Casey Proctor,Central Connecticut,P,JR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-05-19,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34675,Cayden Mitchell,Arkansas,INF,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-05-28,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34816,Cooper Fiskewold,Omaha,P/OF,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2025-12-11,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34698,Daniel Pinkerton,McNeese,CF,JR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-05-27,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34549,Dimaggio Lonero,North Alabama,INF,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
4488,ETHAN HUNT,Houston,P,JR,III,Groveland,MA,,73,210,0,0,0,,0,0,0,0,0,0,d1baseball,2025-12-03,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_bio_evidence;
34585,Gavin Parkerson,Parkland,P,SO,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
3524,JACK REIMANN,St. Bonaventure,INF,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2025-12-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34716,Jace Gilligan,Saint Peter's,C,JR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-05-26,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34825,Jack Ghufran,San Jose State,P,FR,I,,,,,,1,0,0,prev_school=CA,0,0,0,0,0,0,d1baseball,2025-12-02,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34806,Jaden Schmidt,Albany,P,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-05-05,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34774,Jake Lodgek,Miami,P,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-05-19,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34827,James Fagnant,Richmond,INF,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2025-12-02,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34837,Jaxon Walker,Tennessee,OF,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2025-11-17,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34822,Jonny Garber,Arizona State,C,JR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2025-12-03,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34826,Josh Castellani,State College of Florida,INF,SO,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2025-12-02,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34569,Kobe Minchey,Tarleton State,P,JR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34828,Logan Ponnett,Charlotte,INF/C,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2025-12-02,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34775,Lonzo Drummond,Miami,P,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-05-19,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34818,Louis Leon,Waubonsee,INF,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2025-12-05,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34553,Mason Greenhouse,Miami,CF,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34810,Mason Tibbs,Charleston Southern,P,JR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-04-29,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34605,Matt Hanneman,Bradley,INF/OF,JR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-05-31,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34819,Matthew Peterson,Yavapai,INF,SO,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2025-12-05,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34814,Matthew Roncalli,UAB,C,SR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2025-12-13,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34802,Michael Clemente,Wofford,P,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-05-11,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34556,Michael Cureton,Radford,INF/C,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34815,Michael Spasaccino,St. John's,OF,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2025-12-12,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34706,Morgan Shanaman,Mercyhurst,P,JR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-05-27,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34829,Myles Johnson,Eastern Kentucky,OF,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2025-12-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34649,Nikolas Miller,Nevada,P,SR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-05-29,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34817,Owen Anchors,Clemson,OF,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2025-12-11,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34583,Rashaan Chavis II,Prairie View,OF,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34721,Ray Jesse,Indiana State,C,JR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-05-26,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
3630,SAMUEL GETTINGER,Stonehill,DH,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2025-12-15,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34800,Sebastian Torres,Indiana State,2B,SO,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-05-11,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34795,Shea Bailey,Mercyhurst,UTL,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-05-14,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34823,Spencer MacInnis,Richmond,INF,SO,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2025-12-03,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34832,TJ Addonizio,Richmond,INF,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2025-12-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34840,Tyler Gundelfinger,USC Beaufort,INF,JR,I,,,,,,1,0,0,prev_school=CA,0,0,0,0,0,0,d1baseball,2025-04-28,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34674,Tyler Holland,Arkansas,INF,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-05-28,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34644,Will Hill,Texas,OF,FR,I,,,,,,0,0,0,,0,0,0,0,0,0,d1baseball,2026-05-29,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;missing_weight;missing_bio_evidence;
34615,Andrew Sheffield,FGCU,LF,FR,I,Palm Harbor,FL,East Lake,70,,0,0,0,,0,0,0,0,1,1,d1baseball,2026-05-31,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_weight;
34601,Ben Schulman,Virginia,P,FR,I,Chappaqua,NY,Horace Greeley HS,77,220,0,0,0,,0,0,0,0,1,1,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
258,CARSON MOORE,San Diego State,INF,FR,II,Cameron Park,CA,Del Oro HS,72,170,1,1,1,hometown=CA;prev_school=CA,0,0,0,0,1,1,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34524,Cameron Williams,McNeese,P,JR,I,,,,72,180,0,0,0,,0,0,0,0,1,1,d1baseball,2026-06-02,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;
34551,Casey Leavitt-McGee,CSU Bakersfield,INF/OF,JR,I,San Francisco,,,74,217,1,0,0,prev_school=CA,0,0,0,0,1,1,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34703,Cooper Clouser,Arizona State,C,FR,I,Tempe,AZ,Corona del Sol,73,200,0,0,0,,0,0,0,0,1,1,d1baseball,2026-05-27,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34591,Craig Kabat,Gonzaga,P,SO,I,Green Bay,WI,Bay Port HS,70,185,0,0,0,,0,0,0,0,1,1,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34559,David Wiser,Stanford,P,FR,I,Elk Grove,CA,Bradshaw Christian,75,207,1,0,0,hometown=CA;prev_school=CA,0,0,0,0,1,1,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34587,Drake Gabel,Seattle,P,SO,I,West Linn,OR,West Linn,74,200,0,0,0,,0,0,0,0,1,1,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34539,Holden Harris,UTSA,P,SO,I,Leander,TX,Tom Glenn HS,74,210,0,0,0,,0,0,0,0,1,1,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34669,Houston Wills,Campbell,P,JR,I,Holly Springs,NC,Holly Springs HS,76,200,0,0,0,,0,0,0,0,1,1,d1baseball,2026-05-28,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34527,Ian Holm,McNeese,P,JR,I,,,,73,197,0,0,0,,0,0,0,0,1,1,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;
34530,Isaiah Padilla,Campbell,INF,JR,I,Denver,CO,Denver North HS,73,215,0,0,0,,0,0,0,0,1,1,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34663,JJ Hand,Old Dominion,C,FR,I,Bristow,VA,Brentsville District,73,205,0,0,0,,0,0,0,0,1,1,d1baseball,2026-05-29,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
2291,JOSHUA JONES,McNeese,C,JR,III,,,,69,215,0,0,0,,0,0,0,0,1,1,d1baseball,2026-06-02,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;
34704,Jaxsyn Durst,Arizona State,LF,FR,I,Reno,NV,Jackson Manogue,70,175,0,0,0,,0,0,0,0,1,1,d1baseball,2026-05-27,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34635,Jonathan Holt,Notre Dame,INF,SO,I,Glen Mills,PA,Malvern Prep,74,203,0,0,0,,0,0,0,0,1,1,d1baseball,2026-05-29,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34557,Kalani Jauregui,San Diego State,P,FR,I,Chula Vista,Calif/,"Eastlake, Calif.",72,195,1,1,1,hometown=Chula Vista (SD County);prev_school=CA;HS in CA,0,0,0,0,1,1,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34600,LJ Edwards,Virginia,OF,FR,I,Lake Helen,FL,Spruce Creek HS,73,205,0,0,0,,0,0,0,0,1,1,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34616,Mason Hudson,FGCU,P,FR,I,New Port Richey,FL,Homeschool,73,,0,0,0,,0,0,0,0,1,1,d1baseball,2026-05-31,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_weight;
34676,McCoy Fulk,Campbell,INF,FR,I,Noblesville,IN,Noblesville HS,72,170,0,0,0,,0,0,0,0,1,1,d1baseball,2026-05-28,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34776,Nolan Jaworowski,Cincinnati,INF,FR,I,St. Louis,MO,St. John Vianney,77,230,0,0,0,,0,0,0,0,1,1,d1baseball,2026-05-19,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34754,Quincy Mazeke,Cincinnati,OF,FR,I,Canton,OH,GlenOak,70,185,0,0,0,,0,0,0,0,1,1,d1baseball,2026-05-21,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;
34543,Rex Smith,VCU,INF,JR,I,,,,73,210,0,0,0,,0,0,0,0,1,1,d1baseball,2026-06-01,https://d1baseball.com/stories/2026-transfer-tracker/,missing_eval;missing_stats;missing_hometown;
