Team,Player,Pitch Type,Pitches,BBE,EV,EV 90,Max EV,HH%,LA,HH LA,SwSpot%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,GB%,FB%,LD%,Swing%,Z-Swing%,Z-Contact%,Chase%,Whiff%,SD+
UC San Diego,Colton Lomanto,All,320,48,90.2,105.7,108.7,41.7%,24.0°,21.7°,33.3,6.2%,3,0.328,0.254,0.49,0.398,20.8%,35.4%,31.2%,40.3%,68.2%,83.3%,20.7%,24.8%,113
UC San Diego,Michael Crossland,All,448,72,90.6,104.2,107.5,44.4%,12.2°,11.4°,43.1,8.3%,6,0.365,0.317,0.471,0.409,37.5%,29.2%,30.6%,37.7%,58.0%,86.3%,24.6%,23.7%,99
San Diego,Jack Gurevitch,All,881,150,94.3,111.0,117.2,50.7%,7.6°,9.0°,31.3,12.0%,18,0.335,0.329,0.448,0.435,47.3%,26.0%,25.3%,46.9%,78.3%,87.2%,25.1%,21.8%,115
San Diego State,CJ Moran,All,531,107,86.6,104.8,108.0,33.6%,2.8°,5.9°,29.0,0.9%,1,0.395,0.304,0.443,0.371,46.7%,19.6%,29.9%,42.4%,65.9%,91.5%,24.1%,14.2%,100
San Diego State,Nevan Noonan,All,691,143,89.0,101.5,105.1,37.8%,19.1°,14.2°,37.8,4.2%,6,0.351,0.304,0.438,0.393,32.2%,32.2%,28.7%,41.0%,60.9%,89.7%,25.3%,16.6%,96
San Diego,Isaiah Lane,All,838,125,87.3,101.5,103.9,34.4%,8.3°,11.4°,44.0,5.6%,7,0.333,0.295,0.437,0.395,40.8%,23.2%,33.6%,35.8%,56.2%,86.7%,20.3%,18.3%,96
San Diego State,Xavier Farnum,All,208,30,85.2,98.7,102.9,26.7%,13.0°,9.9°,40.0,0.0%,0,0.325,0.264,0.431,0.347,36.7%,16.7%,36.7%,36.1%,60.0%,90.7%,17.8%,18.7%,92
UC San Diego,Noah Lazuka,All,184,29,88.3,103.5,107.4,34.5%,0.4°,16.1°,27.6,3.4%,1,0.289,0.271,0.419,0.376,55.2%,20.7%,24.1%,39.7%,59.4%,87.8%,27.8%,23.3%,108
UC San Diego,Cooper Thacker,All,386,43,88.6,101.6,105.2,51.2%,17.2°,18.2°,44.2,7.0%,3,0.308,0.238,0.417,0.384,27.9%,30.2%,34.9%,37.3%,59.0%,86.3%,19.7%,18.8%,113
San Diego,Austin Smith,All,646,171,87.2,103.3,108.0,33.9%,15.0°,7.2°,37.4,1.2%,2,0.359,0.321,0.416,0.373,32.7%,29.8%,31.6%,46.3%,68.6%,92.9%,26.2%,11.4%,93
UC San Diego,Trevian Martinez,All,227,32,89.3,102.7,105.7,37.5%,15.8°,15.3°,40.6,3.1%,1,0.214,0.272,0.4,0.412,28.1%,34.4%,28.1%,30.0%,56.3%,89.8%,13.6%,19.1%,132
UC San Diego,J.C. Allen,All,383,51,94.6,108.8,109.6,58.8%,11.7°,18.1°,47.1,25.5%,13,0.26,0.288,0.4,0.461,35.3%,37.3%,21.6%,41.8%,63.9%,76.8%,26.8%,30.6%,93
UC San Diego,Emiliano Gonzalez,All,341,65,89.5,103.8,104.9,43.1%,4.2°,7.0°,30.8,3.1%,2,0.321,0.311,0.391,0.391,47.7%,18.5%,27.7%,41.1%,63.9%,92.9%,22.0%,15.7%,111
UC San Diego,Anthony Potestio,All,389,68,90.6,104.6,108.7,44.1%,12.3°,11.8°,30.9,11.8%,8,0.293,0.346,0.387,0.457,44.1%,27.9%,26.5%,35.2%,54.2%,93.8%,19.0%,13.1%,98
