Team,Player,Pitch Type,Throws,Pitches,BBE,EV,HH%,Barrel%,Barrels,BA,xBA,wOBA,xwOBA,Swing%,Z-Contact%,Chase%,Whiff%,Velo,Velo 90,Max Velo,Spin Rate,iVB,HB,VAA,HAA,RelHeight,RelSide,Extension,Stuff+,Location+,xRV+,Anomaly+,Tunnel+,PredMovDiff+
San Diego,Jamie Robertson,Changeup,R,77,5,79.6,33.3%,0.0%,0,0.067,0.173,0.088,0.217,54.5%,52.4%,42.0%,64.3%,78.7,80.1,82.1,1507,"4.5""","12.3""",-8.0°,-0.7°,5.6',2.0',6.5',123,98,110,99,99,97
UC San Diego,Spencer Seid,Slider,L,32,5,92.9,16.7%,0.0%,0,0.125,0.148,0.103,0.135,43.8%,77.8%,21.7%,28.6%,74.9,77.1,78.8,2240,"0.3""","11.5""",-8.3°,4.0°,5.1',-2.2',5.2',103,93,105,117,103,96
San Diego,Logan Reddemann,Curveball,R,64,7,80.0,14.3%,0.0%,0,0.111,0.28,0.103,0.271,28.1%,92.3%,15.2%,16.7%,76.0,77.7,78.4,1860,"-12.2""","-9.6""",-9.6°,-2.5°,5.9',1.7',5.4',94,113,103,96,104,130
San Diego,Dallin Harrison,Changeup,R,78,8,87.3,37.5%,0.0%,0,0.154,0.145,0.143,0.151,34.6%,80.0%,23.5%,44.4%,82.4,84.1,90.3,2195,"9.9""","18.9""",-6.4°,0.1°,5.1',1.5',6.0',119,94,106,95,96,104
San Diego State,Aaron Kniffin,Fastball,R,70,13,81.9,7.7%,0.0%,0,0.059,0.16,0.157,0.256,40.0%,94.1%,25.6%,10.7%,84.7,87.4,88.7,2375,"17.2""","3.7""",-5.6°,-1.6°,5.7',1.5',5.9',81,105,107,89,102,102
San Diego State,Omar Serrano,Curveball,R,126,13,72.2,21.4%,0.0%,0,0.13,0.179,0.163,0.202,30.2%,85.7%,18.2%,28.9%,76.4,81.2,84.1,2500,"-6.4""","-11.3""",-9.5°,-2.1°,6.4',1.2',6.0',101,104,110,101,106,122
San Diego,Dallin Harrison,Sinker,R,42,7,94.7,62.5%,0.0%,0,0.2,0.328,0.169,0.31,38.1%,78.6%,10.0%,25.0%,89.2,91.0,91.9,2226,"12.5""","17.9""",-5.1°,0.2°,5.2',1.3',6.3',79,104,103,99,95,95
San Diego State,Marko Sipila,Changeup,R,138,21,84.5,22.7%,0.0%,0,0.182,0.208,0.175,0.208,52.9%,81.2%,32.9%,35.6%,83.0,84.8,85.9,991,"3.8""","5.5""",-8.7°,-0.2°,6.8',0.3',5.9',122,96,114,107,100,105
San Diego,Austin Smith,Slider,L,74,9,90.5,44.4%,0.0%,0,0.154,0.311,0.185,0.345,31.1%,88.2%,14.6%,21.7%,77.1,79.3,81.5,2373,"-8.5""","4.1""",-8.8°,1.9°,5.5',-1.4',5.3',111,111,114,104,108,108
UC San Diego,Steele Murdock,Slider,R,137,22,82.1,25.0%,0.0%,0,0.188,0.273,0.203,0.272,54.7%,85.4%,44.2%,36.0%,84.9,86.9,88.9,2286,"0.1""","-4.4""",-8.1°,-2.5°,5.9',1.9',5.9',138,114,124,93,102,96
San Diego,Jamie Robertson,Slider,R,57,7,78.5,0.0%,0.0%,0,0.182,0.246,0.205,0.264,43.9%,92.3%,30.8%,36.0%,78.1,79.8,82.0,2164,"-4.0""","-3.3""",-8.6°,-2.5°,5.6',1.9',6.0',101,92,81,94,103,101
San Diego State,Garvey Rumary,Changeup,L,121,25,85.0,23.1%,0.0%,0,0.185,0.271,0.208,0.289,45.5%,91.2%,30.9%,23.6%,81.0,82.5,83.3,1656,"7.2""","-12.9""",-7.4°,-0.2°,6.2',-1.5',5.4',105,95,97,100,99,99
San Diego,Logan Reddemann,Changeup,R,161,25,82.3,21.4%,3.6%,1,0.171,0.213,0.211,0.263,52.2%,67.9%,33.3%,38.1%,83.1,84.8,86.8,1545,"12.8""","12.4""",-6.8°,-0.9°,5.7',2.0',5.8',99,102,93,88,96,100
San Diego,Hayden Cody,Slider,R,102,13,82.7,21.4%,7.1%,1,0.158,0.27,0.216,0.35,44.1%,78.3%,31.4%,37.8%,84.4,86.6,87.6,2294,"4.7""","-2.9""",-7.1°,-1.5°,5.4',0.7',5.7',120,107,101,93,98,102
San Diego,David Horn,Curveball,R,76,5,71.9,20.0%,0.0%,0,0.125,0.191,0.229,0.23,17.1%,90.0%,6.0%,15.4%,76.3,78.1,79.2,2501,"-20.2""","-12.8""",-10.0°,-1.2°,6.1',0.5',5.6',118,75,73,101,110,153
UC San Diego,Niccolas Gregson,Curveball,R,59,8,80.7,25.0%,0.0%,0,0.25,0.215,0.232,0.227,30.5%,91.7%,20.0%,27.8%,75.0,77.6,80.1,2816,"-14.5""","-8.4""",-9.4°,-2.6°,5.5',1.4',5.7',120,106,97,95,115,133
San Diego,Fernando Palencia,Slider,R,127,15,84.1,33.3%,0.0%,0,0.12,0.193,0.24,0.313,23.6%,81.0%,12.7%,33.3%,81.0,82.3,84.5,2514,"-8.3""","-16.4""",-8.3°,-4.0°,5.4',2.1',4.7',126,92,102,107,104,110
San Diego,Dallin Harrison,Slider,R,95,18,86.1,27.8%,0.0%,0,0.1,0.278,0.241,0.385,40.0%,87.5%,24.1%,10.5%,82.1,84.4,85.3,2228,"0.5""","-5.2""",-7.4°,-3.0°,5.2',1.6',5.7',111,111,108,94,99,104
