PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,RelSpeed,SpinRate,SpinAxis,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,VertApprAngle,HorzApprAngle,PlateLocHeight,PlateLocSide,ExitSpeed,Angle,Direction,Distance,Level,GameID,PitchUID,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence
1,9/9/2025,05:10.6,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,82.88382,2195.236079,227.302022,6.61269,3.06657,6.08682,18.57509,18.36946,-4.666128,-0.511648,4.45192,1.06599,,,,,TeamExclusive,20250909-UofSanDiego-Private-1,3363f700-8de2-11f0-8ba7-ff05ae97f8a5,High,High,High
2,9/9/2025,05:17.3,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,84.20578,2210.969662,231.891246,6.46519,2.96679,6.67961,16.04213,18.57903,-4.870901,-1.648758,4.15215,-0.08501,,,,,TeamExclusive,20250909-UofSanDiego-Private-1,372ebaa0-8de2-11f0-8ba7-ff05ae97f8a5,High,High,High
3,9/9/2025,05:23.9,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,83.27126,2200.90444,241.798102,6.13387,3.18552,6.54683,12.5317,20.55194,-4.059814,-0.715116,4.95572,0.82314,,,,,TeamExclusive,20250909-UofSanDiego-Private-1,3b2485e0-8de2-11f0-8ba7-ff05ae97f8a5,High,High,High
4,9/9/2025,05:33.2,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,86.47836,2310.093484,235.325484,6.20427,2.9841,7.00481,14.42394,18.81182,-3.697718,-1.717261,4.92567,-0.1389,,,,,TeamExclusive,20250909-UofSanDiego-Private-1,40cb3570-8de2-11f0-8ba7-ff05ae97f8a5,High,High,High
5,9/9/2025,05:48.7,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,86.29478,2233.338757,210.135889,6.17378,3.02525,6.04178,20.06694,10.75103,-4.172215,-1.615083,4.0822,0.6351,,,,,TeamExclusive,20250909-UofSanDiego-Private-1,4a003be0-8de2-11f0-8ba7-ff05ae97f8a5,High,High,High
6,9/9/2025,06:02.5,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,86.97654,2285.17396,212.409837,6.20338,2.83784,6.09268,21.10989,12.4517,-5.24639,-2.373934,2.95278,-0.39456,,,,,TeamExclusive,20250909-UofSanDiego-Private-1,523e8640-8de2-11f0-8ba7-ff05ae97f8a5,High,High,High
7,9/9/2025,06:17.9,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,86.91508,2109.902036,216.154425,5.94162,3.13271,6.07579,19.52001,13.3193,-4.449166,-1.064185,3.48829,1.0399,,,,,TeamExclusive,20250909-UofSanDiego-Private-1,5b70a680-8de2-11f0-8ba7-ff05ae97f8a5,High,High,High
8,9/9/2025,06:32.0,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,85.76638,2208.912503,220.041702,5.89603,3.24271,6.30946,17.24647,13.37977,-5.663003,-2.387618,2.58502,-0.07082,,,,,TeamExclusive,20250909-UofSanDiego-Private-1,64001e20-8de2-11f0-8ba7-ff05ae97f8a5,High,High,High
9,9/9/2025,06:46.9,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,77.90916,2242.43151,75.852332,5.78447,2.90381,6.1906,-2.37866,-15.19709,-6.903342,-6.165086,3.63164,-1.53778,,,,,TeamExclusive,20250909-UofSanDiego-Private-1,6cdfb190-8de2-11f0-8ba7-ff05ae97f8a5,High,High,High
10,9/9/2025,07:04.4,,,"Bunnell, Jack",813673.0,Right,SAN_DIE8,"Bunnell, Jack",813673,Right,SAN_DIE8,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,85.33068,2221.989406,214.710776,6.09938,3.01966,6.13422,19.15788,12.22922,-3.116294,-2.008673,5.11618,0.14607,,,,,TeamExclusive,20250909-UofSanDiego-Private-1,774c9bc0-8de2-11f0-8ba7-ff05ae97f8a5,High,High,High
